,dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
0,2020-11-25,5.0,2403.26,12.07,58.26,203.13,26.46,299.76,335.66,60.8
1,2020-11-26,5.0,2136.23,3.97,50.04,205.99,23.37,314.79,348.41,29.13
2,2020-11-27,5.0,2803.8,9.05,65.8,174.52,50.07,283.0,342.48,33.95
3,2020-11-28,5.0,2483.37,3.69,56.89,167.37,24.56,283.73,324.83,35.47
4,2020-11-29,5.0,2056.12,4.69,44.55,226.02,50.07,272.96,305.21,28.37
5,2020-11-30,5.0,3070.83,28.39,60.32,234.6,41.96,340.28,388.29,39.52
6,2020-12-01,5.0,3337.86,22.13,65.12,223.16,56.27,409.84,468.09,92.21
7,2020-12-02,5.0,3150.94,11.29,65.8,226.02,42.44,426.94,468.88,41.54
8,2020-12-03,5.0,3524.78,31.29,83.63,254.63,55.31,455.51,516.47,86.13
9,2020-12-04,5.0,4058.84,31.74,90.48,246.05,75.34,564.28,615.49,93.22
10,2020-12-05,5.0,2616.88,7.26,82.94,223.16,64.85,390.47,425.02,149.97
11,2020-12-06,5.0,2777.1,2.77,74.03,214.58,51.5,370.9,436.64,115.51
12,2020-12-07,5.0,3204.35,22.35,67.86,203.13,31.95,440.4,493.98,58.77
13,2020-12-08,5.0,4005.43,33.08,66.49,226.02,66.76,546.68,606.13,66.88
14,2020-12-09,5.0,3524.78,27.27,75.4,214.58,61.99,497.54,566.53,106.39
15,2020-12-10,5.0,4165.65,36.66,71.97,214.58,31.95,612.0,670.74,41.04
16,2020-12-11,5.0,3524.78,9.05,62.38,144.48,38.62,531.94,586.24,35.97
17,2020-12-12,5.0,1228.33,6.59,33.93,107.29,19.55,110.38,130.6,16.09
18,2020-12-13,5.0,947.95,2.32,23.65,144.48,25.75,108.07,119.15,23.81
19,2020-12-14,5.0,2243.04,4.36,72.66,135.9,42.44,187.58,231.98,41.54
20,2020-12-15,5.0,2696.99,13.75,75.4,147.34,37.19,263.38,307.93,49.65
21,2020-12-16,5.0,2696.99,14.75,54.15,120.16,54.84,268.7,315.11,21.53
22,2020-12-17,5.0,894.55,3.3,21.42,145.91,24.08,139.32,154.44,19.76
23,2020-12-18,5.0,1548.77,4.75,37.01,160.22,36.72,182.26,216.86,25.84
24,2020-12-19,5.0,3124.24,23.47,61.69,173.09,25.99,332.12,388.08,60.8
25,2020-12-20,5.0,3150.94,26.6,56.21,191.69,42.44,423.45,469.18,38.0
26,2020-12-21,5.0,3150.94,9.5,71.97,203.13,49.11,515.96,575.65,50.66
27,2020-12-22,5.0,3177.64,31.29,66.49,197.41,24.8,597.56,640.02,40.03
28,2020-12-23,5.0,3364.56,41.13,78.14,203.13,43.87,625.38,681.52,61.81
29,2020-12-24,5.0,3044.13,32.19,63.75,178.81,96.32,465.8,513.06,40.03
30,2020-12-25,5.0,1949.31,5.36,31.87,147.34,33.85,317.14,350.34,23.56
31,2020-12-26,5.0,2750.4,13.64,63.06,181.68,42.92,347.31,393.97,53.2
32,2020-12-27,5.0,3578.19,20.34,55.52,185.97,30.52,483.04,526.53,59.28
33,2020-12-28,5.0,1401.9,3.24,37.36,163.08,24.56,322.93,344.7,26.35
34,2020-12-29,5.0,1615.52,4.19,42.5,150.2,27.18,224.91,248.35,28.37
35,2020-12-30,5.0,2002.72,8.61,57.58,170.23,36.72,214.65,255.83,35.47
36,2020-12-31,5.0,2750.4,9.28,68.55,180.24,49.59,290.54,348.08,55.22
37,2021-01-01,5.0,3177.64,22.8,111.04,158.79,90.6,357.2,422.49,154.02
38,2021-01-02,5.0,2563.48,11.29,70.6,131.61,46.25,325.89,371.63,118.55
39,2021-01-03,5.0,2189.64,15.42,50.04,145.91,21.7,330.31,359.01,47.62
40,2021-01-04,5.0,2082.82,24.36,35.64,108.72,22.89,198.6,231.7,36.99
41,2021-01-05,5.0,2723.69,5.92,101.45,111.58,52.93,384.64,439.87,127.67
