,time,tavg,tmin,tmax,prcp
0,01-01-1990,7.2,,18.1,0.0
1,02-01-1990,10.5,,17.2,0.0
2,03-01-1990,10.2,1.8,18.6,
3,04-01-1990,9.1,,19.3,0.0
4,05-01-1990,13.5,,23.8,0.0
5,06-01-1990,11.5,5.9,21.4,0.0
6,07-01-1990,14.2,5.4,23.6,0.0
7,08-01-1990,17.1,,24.6,0.0
8,09-01-1990,11.1,,24.6,0.0
9,10-01-1990,14.8,4.1,23.6,0.0
10,11-01-1990,12.9,5.1,23.6,0.0
11,12-01-1990,12.5,7.3,21.1,0.0
12,13-01-1990,15.3,,24.65,0.0
13,14-01-1990,17.3,6.9,28.2,0.0
14,15-01-1990,16.5,9.0,24.9,0.0
15,16-01-1990,15.8,,24.9,0.0
16,17-01-1990,17.6,,26.9,0.0
17,18-01-1990,19.9,13.0,29.5,0.0
18,19-01-1990,20.5,13.0,29.5,
19,20-01-1990,17.5,10.7,28.7,0.0
20,21-01-1990,18.6,,26.4,0.0
21,22-01-1990,20.0,10.8,28.3,0.0
22,23-01-1990,18.8,13.2,28.9,0.0
23,24-01-1990,18.4,,28.9,0.0
24,25-01-1990,18.9,,26.2,
25,26-01-1990,18.9,,27.9,0.0
26,27-01-1990,18.9,9.8,29.9,0.0
27,28-01-1990,20.7,,28.8,0.0
28,29-01-1990,21.4,,28.8,0.0
29,30-01-1990,15.6,,26.2,0.0
30,31-01-1990,17.1,10.0,26.2,0.0
31,01-02-1990,17.5,,27.7,0.0
32,02-02-1990,15.2,,27.7,0.0
33,03-02-1990,,,26.15,
34,04-02-1990,17.4,,24.6,0.0
35,05-02-1990,16.2,9.2,25.033333333333335,23.9
36,06-02-1990,15.2,,25.466666666666665,0.0
37,07-02-1990,20.7,10.1,25.9,0.0
38,08-02-1990,20.7,12.9,26.1,
39,09-02-1990,20.3,,27.8,0.0
40,10-02-1990,19.9,,27.8,0.0
41,11-02-1990,20.7,13.0,29.0,0.0
42,12-02-1990,20.0,12.8,27.9,
43,13-02-1990,17.0,,19.7,
44,14-02-1990,18.0,,23.4,0.0
45,15-02-1990,16.8,10.5,24.1,0.0
46,16-02-1990,16.6,10.1,23.8,0.0
47,17-02-1990,17.5,8.3,25.3,0.0
48,18-02-1990,16.0,13.2,25.3,12.7
49,19-02-1990,17.1,12.1,23.7,0.0
50,20-02-1990,17.3,11.5,24.299999999999997,0.0
51,21-02-1990,17.5,10.4,24.9,0.0
52,22-02-1990,17.6,,25.3,0.0
53,23-02-1990,17.5,9.5,26.6,0.0
54,24-02-1990,16.5,,26.6,
55,25-02-1990,17.8,12.5,23.3,7.1
56,26-02-1990,19.5,,25.7,2.3
57,27-02-1990,17.4,14.9,25.75,0.0
58,28-02-1990,18.3,14.3,25.8,7.4
59,01-03-1990,17.5,,25.8,0.0
60,02-03-1990,15.5,,24.9,0.0
61,03-03-1990,16.8,,23.7,0.0
62,04-03-1990,17.0,8.3,25.8,0.0
63,05-03-1990,18.8,,25.9,
64,06-03-1990,18.2,,27.0,0.0
65,07-03-1990,18.6,11.3,27.4,0.0
66,08-03-1990,20.2,10.3,29.0,0.0
67,09-03-1990,22.7,11.1,30.1,0.0
68,10-03-1990,21.0,,31.1,0.0
69,11-03-1990,23.7,,30.4,0.0
70,12-03-1990,21.8,14.6,30.4,
71,13-03-1990,22.3,12.9,30.3,0.0
72,14-03-1990,22.5,,30.3,0.0
73,15-03-1990,22.8,15.1,31.0,0.0
74,16-03-1990,25.2,15.2,32.0,
75,17-03-1990,25.3,16.5,33.1,0.0
76,18-03-1990,26.4,,34.1,0.0
77,19-03-1990,26.0,17.4,36.2,0.0
78,20-03-1990,26.3,17.8,36.2,0.0
79,21-03-1990,25.8,17.5,36.1,0.0
80,22-03-1990,26.4,18.9,35.6,0.0
81,23-03-1990,24.7,,35.4,0.8
82,24-03-1990,20.7,,29.2,0.0
83,25-03-1990,21.2,10.2,30.7,0.0
84,26-03-1990,21.9,,30.6,0.0
85,27-03-1990,23.3,16.2,29.9,
86,28-03-1990,23.6,17.1,30.2,0.0
87,29-03-1990,23.5,16.6,31.8,0.0
88,30-03-1990,26.5,16.5,34.9,0.0
89,31-03-1990,,,33.5,
90,01-04-1990,24.9,,32.1,0.0
91,02-04-1990,24.5,,30.9,0.0
92,03-04-1990,23.5,12.9,31.65,0.0
93,04-04-1990,24.3,13.7,32.4,0.0
94,05-04-1990,,,33.15,
95,06-04-1990,26.2,,33.9,0.0
96,07-04-1990,28.0,,34.9,0.0
97,08-04-1990,28.7,,36.6,
98,09-04-1990,25.3,20.3,36.6,
