dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2020-11-25 06:30:00,4,360.49,0,8.23,110.15,12.64,31.59,32.81,1.19
2020-11-25 07:30:00,4,417.23,0,11.65,104.43,14.07,34.5,36.41,1.82
2020-11-25 08:30:00,4,453.95,0,15.94,97.28,15.26,33.84,36.16,2.09
2020-11-25 09:30:00,4,453.95,0.01,15.77,95.84,15.5,31.72,34.02,1.98
2020-11-25 10:30:00,4,453.95,0.01,14.05,94.41,15.5,31.07,33.3,1.9
2020-11-25 11:30:00,4,473.98,0.02,13.2,89.41,15.26,30.9,32.88,1.68
2020-11-25 12:30:00,4,487.33,0.04,13.02,77.96,15.14,28.39,30.1,1.49
2020-11-25 13:30:00,2,480.65,0.08,11.14,58.65,12.4,19.87,21.32,1.22
2020-11-25 14:30:00,2,433.92,0.11,9.85,38.62,10.37,10.61,11.91,1.05
2020-11-25 15:30:00,1,380.52,0.09,9.08,28.25,9.18,6.88,8.05,0.92
2020-11-25 16:30:00,1,340.46,0.11,8.31,23.6,7.99,5.53,6.59,0.82
2020-11-25 17:30:00,1,310.42,0.1,8.23,23.6,6.97,4.56,5.59,0.74
2020-11-25 18:30:00,1,297.07,0.03,7.54,32.19,6.2,4.71,5.89,0.74
2020-11-25 19:30:00,1,330.45,0,6.86,46.49,6.38,7.4,8.94,0.86
2020-11-25 20:30:00,2,390.53,0,6.26,65.09,6.8,13.36,15.1,0.86
2020-11-25 21:30:00,3,403.88,0,5.18,82.97,6.26,20.48,22.24,0.71
2020-11-25 22:30:00,3,397.21,0,4.54,88.69,5.25,23.38,25.15,0.64
2020-11-25 23:30:00,3,433.92,0,4.03,86.55,4.59,22.31,23.91,0.45
2020-11-26 00:30:00,4,460.63,0,3.68,85.12,5.25,26.14,27.57,0.09
2020-11-26 01:30:00,4,440.6,0,3.17,90.84,4.95,26.76,27.92,0.16
2020-11-26 02:30:00,3,403.88,0,2.83,91.55,4.23,24.15,25.31,0.24
2020-11-26 03:30:00,3,393.87,0,3.04,89.41,4.11,23.93,25.04,0.24
2020-11-26 04:30:00,3,383.85,0,2.83,87.98,3.76,23.76,24.45,0.2
2020-11-26 05:30:00,4,387.19,0,2.57,84.4,3.67,25.39,26.05,0.15
2020-11-26 06:30:00,4,420.57,0,3.26,77.25,4.11,26.57,27.5,0.23
2020-11-26 07:30:00,4,500.68,0,6.26,70.81,6.02,26.06,27.34,0.55
2020-11-26 08:30:00,3,547.41,0.01,12,64.37,11.09,21.24,22.44,0.86
2020-11-26 09:30:00,2,540.73,0.05,14.22,60.08,11.92,16.68,17.77,1.11
2020-11-26 10:30:00,2,534.06,0.08,14.57,60.8,12.4,16.2,17.33,1.11
2020-11-26 11:30:00,3,547.41,0.07,17.65,62.94,18.84,20.72,21.87,0.82
2020-11-26 12:30:00,3,547.41,0.02,15.42,70.1,18.6,22.04,23.04,0.61
2020-11-26 13:30:00,3,534.06,0,11.31,80.82,12.16,21.86,23.05,0.6
2020-11-26 14:30:00,3,527.38,0,9.17,87.26,8.23,21.04,22.58,0.76
2020-11-26 15:30:00,3,520.71,0,9.17,88.69,7.75,22.53,24.67,0.93
2020-11-26 16:30:00,3,507.36,0,9.77,87.98,8.23,24.65,27.37,1.09
2020-11-26 17:30:00,3,480.65,0,9.85,85.83,7.87,23.52,26.13,1.08
2020-11-26 18:30:00,3,447.27,0,8.82,84.4,7.03,20.7,22.94,0.96
2020-11-26 19:30:00,2,423.91,0,8.4,82.25,7.09,19.1,21.19,0.99
2020-11-26 20:30:00,2,417.23,0,8.23,79.39,7.57,18.6,20.94,1.06
2020-11-26 21:30:00,2,407.22,0,7.8,77.25,7.87,18.71,21.73,1.11
2020-11-26 22:30:00,2,403.88,0,7.88,75.82,8.23,19.68,23.03,1.12
2020-11-26 23:30:00,3,403.88,0,9,72.24,9.42,22.13,25.3,0.94
2020-11-27 00:30:00,4,400.54,0,9.94,68.67,11.09,26.53,30.46,0.75
2020-11-27 01:30:00,4,413.9,0,10.28,66.52,12.99,30.89,34.94,0.78
2020-11-27 02:30:00,4,423.91,0,10.28,64.37,14.31,33.21,36.93,0.78
2020-11-27 03:30:00,4,427.25,0,10.45,62.94,15.74,34.41,37.36,0.74
2020-11-27 04:30:00,4,423.91,0,10.03,61.51,15.14,34.17,36.64,0.78
2020-11-27 05:30:00,4,410.56,0,9,63.66,12.52,32.82,35.12,0.89
2020-11-27 06:30:00,4,407.22,0,9.08,65.8,11.68,30.6,32.61,1.14
2020-11-27 07:30:00,4,487.33,0.35,15.94,54.36,19.31,36.34,38.96,1.84
2020-11-27 08:30:00,4,594.14,4.08,21.42,42.2,30.99,42.65,46.31,2.22
2020-11-27 09:30:00,4,594.14,5.2,17.14,50.07,29.56,28.62,31.91,2.91
2020-11-27 10:30:00,4,567.44,4.14,15.25,58.65,30.52,25.09,27.73,3.39
