dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2020-11-25 06:30:00,5,2616.88,2.18,70.6,13.59,38.62,364.61,411.73,28.63
2020-11-25 07:30:00,5,3631.59,23.25,89.11,0.33,54.36,420.96,486.21,41.04
2020-11-25 08:30:00,5,4539.49,52.75,100.08,1.11,68.67,463.68,541.95,49.14
2020-11-25 09:30:00,5,4539.49,50.96,111.04,6.44,78.2,454.81,534,48.13
2020-11-25 10:30:00,5,4379.27,42.92,117.9,17.17,87.74,448.14,529.19,46.61
2020-11-25 11:30:00,5,3898.62,28.39,117.9,40.05,101.09,437.25,511.79,42.05
2020-11-25 12:30:00,5,1949.31,14.53,105.56,83.69,185.01,312.76,349.2,12.79
2020-11-25 13:30:00,5,1508.71,11.62,112.41,87.98,217.44,275.53,303.47,6.59
2020-11-25 14:30:00,5,1361.85,7.04,109.67,95.84,213.62,263.51,289.86,6.02
2020-11-25 15:30:00,5,1602.17,3.1,93.22,104.43,152.59,271.25,302.27,12.16
2020-11-25 16:30:00,5,2136.23,1.27,94.59,86.55,103.95,284.51,324.34,21.28
2020-11-25 17:30:00,5,2590.18,0.19,109.67,50.78,82.02,287.83,336,27.87
2020-11-25 18:30:00,5,3017.43,0.6,120.64,19.67,69.62,295.37,354.19,35.47
2020-11-25 19:30:00,5,3471.37,6.65,117.9,3,65.8,325.89,402.37,46.1
2020-11-25 20:30:00,5,3898.62,16.09,105.56,0.25,63.9,363.16,456.38,50.66
2020-11-25 21:30:00,5,4058.84,19.67,98.71,0.08,59.61,387.52,490.96,42.05
2020-11-25 22:30:00,5,3898.62,18.11,91.85,0.11,52.93,394.51,498.87,31.92
2020-11-25 23:30:00,5,3417.97,13.19,83.63,0.31,42.92,369,461.24,20.52
2020-11-26 00:30:00,5,2803.8,7.15,74.71,0.89,33.85,327.49,400.17,12.16
2020-11-26 01:30:00,5,2456.67,4.75,65.8,1.4,30.99,303.81,365.32,9.63
2020-11-26 02:30:00,5,2269.75,4.25,58.26,1.39,30.52,285.16,340.62,8.74
2020-11-26 03:30:00,5,2162.93,5.42,53.47,0.83,30.99,272.18,320.68,7.92
2020-11-26 04:30:00,5,2136.23,8.16,49.35,0.31,31.47,264.01,305.06,7.09
2020-11-26 05:30:00,5,2189.64,13.19,46.61,0.07,33.38,260.05,296.45,7.28
2020-11-26 06:30:00,5,2483.37,23.92,45.93,0.01,39.1,268.08,305.4,10.26
2020-11-26 07:30:00,5,3284.45,47.83,51.41,0.02,53.88,309.14,359.04,17.48
2020-11-26 08:30:00,5,3791.81,67.06,60.32,1.1,73.43,337.8,398.42,23.81
2020-11-26 09:30:00,5,3097.53,46.94,71.29,8.58,96.32,300.52,353.24,24.83
2020-11-26 10:30:00,5,2643.59,34.42,72.66,20.74,103.95,264.39,315.31,28.37
2020-11-26 11:30:00,5,2109.53,23.69,67.86,33.26,108.72,208,253.85,26.6
2020-11-26 12:30:00,5,1094.82,9.95,49.35,66.52,90.6,115.32,139.51,12.79
2020-11-26 13:30:00,5,894.55,7.49,42.5,82.25,83.92,92.77,111.59,10.13
2020-11-26 14:30:00,5,881.2,7.26,44.55,85.12,92.51,88.53,107.12,10.64
2020-11-26 15:30:00,5,1308.44,9.16,63.06,67.23,100.14,106.99,132.1,17.23
2020-11-26 16:30:00,5,2056.12,11.51,91.85,30.76,95.37,138.22,175.22,26.85
2020-11-26 17:30:00,5,2670.29,23.92,106.93,2.26,84.88,155.65,203.84,33.44
2020-11-26 18:30:00,5,3097.53,42.92,94.59,0,74.39,169.52,227.04,41.04
2020-11-26 19:30:00,5,3578.19,52.75,85,0,69.62,202.21,276.96,50.16
2020-11-26 20:30:00,5,3952.03,53.64,85,0,64.85,234.37,325.87,49.14
2020-11-26 21:30:00,5,4005.43,47.83,85,0,59.13,245.5,343.52,39.01
2020-11-26 22:30:00,5,3685,37.1,84.31,0,51.98,229.77,319.4,30.4
2020-11-26 23:30:00,5,2723.69,20.56,78.14,0.12,42.92,174.77,238.31,19.76
