,dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
0,2020-11-25,5.0,560.76,0.4,15.25,120.16,9.3,80.03,86.66,1.71
1,2020-11-26,4.0,547.41,0.55,16.28,101.57,4.23,35.73,36.39,1.55
2,2020-11-27,5.0,1001.36,11.51,33.59,53.64,15.14,55.56,61.03,3.29
3,2020-11-28,5.0,1708.98,50.52,43.87,92.98,14.07,66.37,73.01,4.56
4,2020-11-29,2.0,534.06,3.3,19.88,67.23,6.38,15.56,17.8,2.95
5,2020-11-30,5.0,580.79,1.45,23.65,76.53,6.8,74.21,86.13,3.99
6,2020-12-01,5.0,754.36,4.3,47.3,91.55,7.75,85.47,99.68,7.47
7,2020-12-02,5.0,520.71,1.87,25.71,98.71,11.44,79.53,92.61,2.06
8,2020-12-03,5.0,600.82,0.27,20.74,101.57,8.7,61.5,65.14,1.16
9,2020-12-04,4.0,647.54,0.52,17.99,68.67,6.14,28.62,30.07,1.43
10,2020-12-05,3.0,460.63,1.16,12.51,59.37,5.19,24.01,25.15,1.47
11,2020-12-06,2.0,494.0,1.23,13.2,69.38,3.82,17.56,17.99,1.54
12,2020-12-07,1.0,560.76,0.71,20.05,54.36,7.09,7.39,8.8,1.79
13,2020-12-08,4.0,774.38,1.79,29.82,82.97,13.35,31.68,34.49,1.93
14,2020-12-09,5.0,741.01,2.74,33.93,79.39,12.28,50.97,55.84,2.31
15,2020-12-10,5.0,881.2,9.28,49.35,115.87,13.59,55.76,63.39,6.4
16,2020-12-11,5.0,1762.39,16.32,97.33,161.65,18.6,111.1,120.52,9.12
17,2020-12-12,5.0,2136.23,54.09,79.51,123.02,13.35,93.36,98.41,8.99
18,2020-12-13,5.0,4058.84,155.57,77.46,92.98,14.54,117.06,126.38,12.16
19,2020-12-14,5.0,2002.72,30.85,90.48,140.19,14.19,73.74,81.09,10.51
20,2020-12-15,5.0,774.38,3.8,29.13,90.12,8.58,100.36,108.93,3.36
21,2020-12-16,5.0,640.87,1.29,24.68,72.96,7.15,68.78,75.2,2.34
22,2020-12-17,4.0,620.84,0.21,31.19,68.67,7.39,27.22,30.54,3.36
23,2020-12-18,4.0,781.06,4.53,45.93,78.68,8.11,30.55,37.54,6.46
24,2020-12-19,5.0,627.52,1.3,20.39,97.28,5.84,61.26,66.5,4.18
25,2020-12-20,5.0,707.63,0.37,23.31,108.72,6.91,83.6,93.28,3.36
26,2020-12-21,5.0,700.95,3.19,36.67,120.16,10.61,80.13,90.62,5.45
27,2020-12-22,5.0,854.49,4.64,47.3,124.45,13.71,90.85,99.78,6.71
28,2020-12-23,5.0,1188.28,8.61,67.86,95.84,13.11,74.22,86.23,8.74
29,2020-12-24,5.0,947.95,8.05,41.47,84.4,15.74,74.47,85.77,6.65
30,2020-12-25,5.0,1321.79,8.61,78.83,135.9,14.78,63.72,75.23,9.88
31,2020-12-26,5.0,754.36,3.97,31.19,138.76,9.54,90.41,101.91,6.46
32,2020-12-27,5.0,834.47,3.47,31.53,134.47,10.97,127.22,134.83,6.4
33,2020-12-28,5.0,1148.22,4.3,69.23,128.75,12.52,140.25,150.72,10.01
34,2020-12-29,5.0,1054.76,8.16,43.18,87.26,15.5,128.13,139.57,3.96
35,2020-12-30,5.0,687.6,4.81,28.1,86.55,11.44,88.53,101.13,4.02
36,2020-12-31,5.0,487.33,0.91,18.85,87.98,6.97,51.62,67.95,3.93
