,dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
0,2020-11-25,5.0,4539.49,52.75,120.64,104.43,217.44,463.68,541.95,50.66
1,2020-11-26,5.0,4005.43,67.06,106.93,85.12,108.72,337.8,400.17,50.16
2,2020-11-27,5.0,2510.07,23.47,112.41,117.3,66.76,179.28,227.25,41.04
3,2020-11-28,5.0,5767.82,76.0,150.8,165.94,67.71,351.5,440.0,55.73
4,2020-11-29,5.0,8438.11,151.99,180.96,170.23,143.05,592.91,747.75,114.5
5,2020-11-30,5.0,9399.41,157.36,205.64,200.27,107.77,703.33,887.84,91.2
6,2020-12-01,5.0,10147.09,150.2,216.6,248.91,122.07,816.21,1004.64,97.28
7,2020-12-02,5.0,7156.37,86.73,152.17,223.16,76.29,708.4,848.38,45.6
8,2020-12-03,5.0,14526.37,218.15,241.28,183.11,232.7,1229.21,1465.21,137.81
9,2020-12-04,5.0,10360.72,171.66,301.6,226.02,188.83,968.36,1176.27,61.3
10,2020-12-05,5.0,4219.06,16.99,169.99,194.55,114.44,453.42,489.45,42.56
11,2020-12-06,5.0,5661.01,45.6,211.12,165.94,115.4,595.31,687.3,48.64
12,2020-12-07,5.0,8865.36,146.63,180.96,194.55,100.14,782.86,944.05,81.06
13,2020-12-08,5.0,12710.57,250.34,257.73,191.69,335.69,1025.87,1266.54,218.87
14,2020-12-09,5.0,13244.63,311.14,224.83,220.3,169.75,1121.39,1325.28,118.55
15,2020-12-10,5.0,10467.53,253.92,150.8,85.12,144.96,654.4,872.88,114.5
16,2020-12-11,5.0,8438.11,232.46,139.83,53.64,305.18,441.81,561.73,89.17
17,2020-12-12,5.0,11001.59,223.52,137.09,45.42,211.72,789.39,1012.94,168.2
18,2020-12-13,5.0,6088.26,92.09,87.74,137.33,65.8,467.27,577.21,32.93
19,2020-12-14,5.0,9719.85,196.7,142.57,135.9,110.63,667.59,867.18,93.22
20,2020-12-15,5.0,9292.6,239.61,141.2,113.01,103.0,668.9,823.63,54.21
21,2020-12-16,5.0,3044.13,28.61,111.04,121.59,82.02,203.98,252.35,40.53
22,2020-12-17,5.0,2189.64,8.61,94.59,134.47,55.79,151.07,190.19,34.45
23,2020-12-18,5.0,2643.59,16.09,111.04,131.61,60.08,161.72,204.29,37.49
24,2020-12-19,5.0,1922.61,13.52,79.51,143.05,46.73,155.51,182.73,30.65
25,2020-12-20,5.0,2590.18,10.17,104.19,131.61,49.11,187.67,229.84,32.93
26,2020-12-21,5.0,11322.02,264.65,167.25,125.89,181.2,834.24,1034.28,131.73
27,2020-12-22,5.0,14099.12,264.65,180.96,174.52,171.66,1121.41,1321.88,118.55
28,2020-12-23,5.0,13565.06,275.37,205.64,185.97,154.5,1099.38,1275.65,115.51
29,2020-12-24,5.0,9292.6,216.37,138.46,165.94,101.09,823.71,955.24,60.8
30,2020-12-25,5.0,5607.61,84.94,138.46,164.51,86.78,477.66,590.87,52.18
31,2020-12-26,5.0,10787.96,184.18,131.61,160.22,117.3,847.05,989.07,83.09
32,2020-12-27,5.0,8331.3,175.24,113.79,147.34,59.13,684.04,816.72,31.92
33,2020-12-28,5.0,6515.5,148.42,119.27,105.86,101.09,434.03,523.81,64.34
34,2020-12-29,5.0,3044.13,37.55,102.82,125.89,66.76,231.23,287.35,32.93
35,2020-12-30,5.0,5287.17,79.57,137.09,137.33,72.48,390.95,500.22,47.12
36,2020-12-31,5.0,10894.78,271.8,154.91,150.2,118.26,791.15,983.47,84.1
37,2021-01-01,5.0,12496.95,321.87,202.89,33.26,564.58,999.18,1148.95,114.5
38,2021-01-02,5.0,3070.83,17.43,105.56,95.84,90.6,351.93,380.72,22.29
39,2021-01-03,5.0,1695.63,7.26,55.52,101.57,40.53,338.85,360.62,9.37
40,2021-01-04,5.0,8224.49,211.0,111.04,45.06,85.83,444.29,543.03,30.91
41,2021-01-05,5.0,2723.69,54.09,90.48,28.97,125.89,183.94,215.15,16.72
42,2021-01-06,5.0,16448.97,457.76,165.88,62.94,339.51,1161.25,1433.23,239.13
43,2021-01-07,5.0,8010.86,218.15,95.96,61.51,77.25,575.41,711.47,43.57
44,2021-01-08,5.0,6835.94,150.2,106.93,61.51,143.05,543.48,677.72,36.99
45,2021-01-09,5.0,4646.3,76.89,65.8,103.0,57.7,417.18,500.19,16.72
46,2021-01-10,5.0,1602.17,7.6,54.84,154.5,48.16,165.41,185.78,21.28
47,2021-01-11,5.0,2002.72,6.87,74.71,140.19,53.41,163.76,188.8,20.27
