dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2020-11-25 06:30:00,5,1869.2,0.89,30.5,7.96,6.91,269.64,294.35,13.81
2020-11-25 07:30:00,5,2136.23,4.64,37.36,3.8,10.85,287.62,318.39,15.45
2020-11-25 08:30:00,5,2403.26,12.07,40.78,15.38,14.66,299.76,335.66,17.73
2020-11-25 09:30:00,5,1668.93,4.02,31.19,83.69,16.69,238.47,262.26,17.48
2020-11-25 10:30:00,5,1522.06,3.27,23.99,111.58,16.69,232.07,255.62,20.27
2020-11-25 11:30:00,5,1428.6,2.07,17.99,145.91,15.74,239.41,263.43,21.53
2020-11-25 12:30:00,5,727.65,0.44,5.27,197.41,19.79,150.28,160.01,10.01
2020-11-25 13:30:00,5,654.22,0.31,4.07,203.13,19.31,135.66,143.77,8.87
2020-11-25 14:30:00,5,634.19,0.27,4.11,203.13,18.12,124.29,132.04,9.25
2020-11-25 15:30:00,5,867.84,0.95,16.97,161.65,19.55,133.63,146.84,19
2020-11-25 16:30:00,5,1201.63,0.91,35.3,113.01,21.7,155.33,177.5,32.93
2020-11-25 17:30:00,5,1482.01,0.07,52.09,72.24,25.27,172.95,203.73,48.13
2020-11-25 18:30:00,5,1668.93,0,58.26,43.63,26.46,188.13,227.29,60.8
2020-11-25 19:30:00,5,1869.2,0.06,56.89,23.25,23.37,207.28,252.95,59.28
2020-11-25 20:30:00,5,2002.72,0.2,52.09,16.63,18.36,222.6,267.81,48.64
2020-11-25 21:30:00,5,1682.28,0,35.64,47.21,13.47,207.33,240.43,33.44
2020-11-25 22:30:00,5,1668.93,0,34.27,46.49,11.44,209.59,243.15,26.85
2020-11-25 23:30:00,5,1615.52,0,33.24,39.34,8.94,209.22,242.78,20.27
2020-11-26 00:30:00,5,1508.71,0,30.5,33.98,6.38,204.99,235.76,15.2
2020-11-26 01:30:00,5,1441.96,0,26.39,32.54,5.13,204.21,232.18,11.91
2020-11-26 02:30:00,5,1388.55,0,22.28,35.05,4.47,205.65,230.12,9.75
2020-11-26 03:30:00,5,1375.2,0,19.71,38.98,4.29,209.68,230.66,8.36
2020-11-26 04:30:00,5,1428.6,0,19.71,34.33,4.17,218.32,238.37,7.92
2020-11-26 05:30:00,5,1508.71,0.01,20.56,27.54,4.41,230.46,250.28,8.36
2020-11-26 06:30:00,5,1655.58,0.09,23.31,20.39,5.6,249.17,270.62,9.88
2020-11-26 07:30:00,5,1869.2,0.48,30.5,14.13,8.94,275.78,301.44,13.43
2020-11-26 08:30:00,5,2029.42,1.36,38.39,17.88,12.64,295.03,323.96,17.48
2020-11-26 09:30:00,5,1949.31,1.63,36.67,45.78,15.97,295.7,323.95,20.77
2020-11-26 10:30:00,5,2029.42,3.13,37.36,62.94,18.84,305.42,336.24,24.57
2020-11-26 11:30:00,5,2136.23,3.97,37.7,82.25,21.7,314.79,348.41,26.6
2020-11-26 12:30:00,5,1094.82,0.59,12.85,203.13,23.37,237.66,251.56,10.26
2020-11-26 13:30:00,5,881.2,0.28,7.63,205.99,18.12,210.2,220.85,8.61
2020-11-26 14:30:00,5,821.11,0.15,6,200.27,14.66,198.85,208.89,9.37
2020-11-26 15:30:00,5,881.2,0.2,11.31,175.95,13.95,195.47,207.09,13.68
2020-11-26 16:30:00,5,1014.71,0.17,21.42,140.19,14.42,192.32,207.18,19.76
2020-11-26 17:30:00,5,1134.87,0.02,29.82,108.72,14.19,182.5,200.02,24.07
2020-11-26 18:30:00,5,1255.04,0,35.99,84.4,15.02,175.75,196.76,27.87
2020-11-26 19:30:00,5,1428.6,0,39.76,65.8,17.88,184.11,210.27,29.13
2020-11-26 20:30:00,5,1575.47,0,42.5,52.21,20.27,206.85,238.14,23.56
2020-11-26 21:30:00,5,1762.39,0,46.61,37.55,19.07,235.07,271.51,17.23
2020-11-26 22:30:00,5,1949.31,0.06,50.04,22.71,16.21,258.81,299.94,14.31
