dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
2020-11-25 06:30:00,5,480.65,0,6.94,115.87,6.56,80.03,86.66,0.31
2020-11-25 07:30:00,5,547.41,0,12,120.16,7.99,74.15,80.81,0.31
2020-11-25 08:30:00,5,560.76,0.02,15.08,117.3,9.3,55.3,61.06,0.6
2020-11-25 09:30:00,4,447.27,0.1,11.31,113.01,8.23,32.56,36.4,0.71
2020-11-25 10:30:00,3,380.52,0.21,8.91,103,7.39,22.34,25.49,0.93
2020-11-25 11:30:00,2,343.8,0.31,7.2,94.41,6.44,16.7,19.34,1.12
2020-11-25 12:30:00,2,323.77,0.4,6,89.41,5.25,12.19,14.11,1.19
2020-11-25 13:30:00,2,323.77,0.29,5.83,87.26,4.53,11.41,12.98,1.16
2020-11-25 14:30:00,2,330.45,0.16,5.74,88.69,4.11,10.13,11.26,1.09
2020-11-25 15:30:00,2,347.14,0.07,6.94,90.12,4.17,9.01,9.9,1.17
2020-11-25 16:30:00,2,393.87,0.04,10.11,91.55,4.65,9.72,10.59,1.41
2020-11-25 17:30:00,2,453.95,0.01,14.22,92.98,5.31,11.46,12.43,1.58
2020-11-25 18:30:00,2,494,0,15.25,94.41,5.78,14.5,15.72,1.71
2020-11-25 19:30:00,2,500.68,0,13.54,95.84,6.26,17.56,19.12,1.71
2020-11-25 20:30:00,2,507.36,0,11.48,97.28,6.32,18.19,19.91,1.5
2020-11-25 21:30:00,2,500.68,0,9.51,95.84,6.14,19.81,21.25,1.17
2020-11-25 22:30:00,3,487.33,0,7.88,94.41,5.42,20.7,21.77,0.96
2020-11-25 23:30:00,2,460.63,0,6.34,95.84,4.59,19.16,19.86,0.73
2020-11-26 00:30:00,2,440.6,0,4.5,98.71,4.23,16.49,16.83,0.52
2020-11-26 01:30:00,2,423.91,0,3.13,101.57,3.87,13.38,13.61,0.44
2020-11-26 02:30:00,2,403.88,0,2.44,101.57,3.37,11.63,11.82,0.44
2020-11-26 03:30:00,2,390.53,0,2.08,101.57,2.83,10.51,10.67,0.45
2020-11-26 04:30:00,2,383.85,0,2.04,100.14,2.65,10.18,10.33,0.46
2020-11-26 05:30:00,2,387.19,0,2.31,100.14,2.53,10.48,10.64,0.47
2020-11-26 06:30:00,2,403.88,0,3.81,97.28,2.65,12.63,12.86,0.54
2020-11-26 07:30:00,2,447.27,0,7.37,87.98,2.95,15.96,16.41,0.71
2020-11-26 08:30:00,3,487.33,0.02,10.63,77.25,3.13,21.73,22.33,0.81
2020-11-26 09:30:00,4,500.68,0.28,10.71,70.81,3.28,27.64,28.31,0.84
2020-11-26 10:30:00,4,507.36,0.39,9.51,68.67,3.34,34.63,35.32,0.85
2020-11-26 11:30:00,4,514.03,0.55,8.74,67.23,3.4,35.73,36.39,0.83
2020-11-26 12:30:00,4,514.03,0.09,9.34,62.94,3.25,33.76,34.37,0.84
2020-11-26 13:30:00,4,527.38,0.07,10.37,59.37,3.34,31.54,32.14,0.88
2020-11-26 14:30:00,4,527.38,0.06,11.48,55.08,3.49,29.28,29.89,0.92
2020-11-26 15:30:00,4,520.71,0.06,12,52.21,3.37,26.7,27.31,0.97
2020-11-26 16:30:00,4,527.38,0.03,13.88,47.92,3.16,25.92,26.53,0.99
2020-11-26 17:30:00,3,547.41,0.01,16.28,43.99,3.01,24.32,24.94,0.98
2020-11-26 18:30:00,3,540.73,0.01,15.94,43.63,3.07,22.17,22.9,1.05
2020-11-26 19:30:00,3,514.03,0,13.2,45.78,3.07,20.41,21.34,1.16
2020-11-26 20:30:00,2,494,0,10.88,47.21,3.01,19.03,20.09,1.22
2020-11-26 21:30:00,2,480.65,0,9.77,46.49,3.13,18.52,19.73,1.35
2020-11-26 22:30:00,2,480.65,0,9.68,44.7,3.22,18.7,20.14,1.5
2020-11-26 23:30:00,2,473.98,0,9.68,41.84,3.16,18.91,20.38,1.55
2020-11-27 00:30:00,2,453.95,0,8.74,40.05,3.46,18.19,19.64,1.62
2020-11-27 01:30:00,2,433.92,0,8.14,38.27,4.77,19.21,20.75,1.69
2020-11-27 02:30:00,3,433.92,0,8.57,36.48,6.97,22.12,23.67,1.63
2020-11-27 03:30:00,4,433.92,0,9.25,34.69,9.42,29.52,31.13,1.39
2020-11-27 04:30:00,4,440.6,0.01,10.03,32.54,11.21,38.04,39.85,1.16
2020-11-27 05:30:00,4,453.95,0.01,11.31,30.04,11.92,43.78,45.82,1.14
2020-11-27 06:30:00,4,514.03,0.1,15.77,24.32,12.64,47.84,50.4,1.39
2020-11-27 07:30:00,5,620.84,1.68,22.28,16.63,13.71,51.47,54.96,1.85
2020-11-27 08:30:00,5,660.9,7.49,18.85,21.82,14.78,51.67,55.62,2.22
2020-11-27 09:30:00,4,594.14,7.49,14.57,34.33,15.14,46.65,49.95,2.01
2020-11-27 10:30:00,4,534.06,4.58,11.82,47.21,13.47,39.81,42.25,1.76
2020-11-27 11:30:00,4,480.65,2.79,9.43,53.64,11.09,31.88,33.58,1.6
2020-11-27 12:30:00,3,423.91,1.43,7.2,53.64,6.97,20.19,21.18,1.24
2020-11-27 13:30:00,2,433.92,1.15,7.97,50.78,5.78,17.4,18.18,1.22
2020-11-27 14:30:00,2,447.27,0.81,9.77,47.21,5.66,18.24,19.01,1.3
2020-11-27 15:30:00,3,494,0.73,13.37,41.84,6.08,20.99,21.89,1.58
2020-11-27 16:30:00,3,567.44,1.27,18.85,35.05,6.5,24.71,25.82,1.9
