,time,tavg,tmin,tmax,prcp
0,01-01-1990,25.2,22.8,28.4,0.5
1,02-01-1990,24.9,21.7,29.1,0.0
2,03-01-1990,25.6,21.4,29.8,0.0
3,04-01-1990,25.7,,28.7,0.0
4,05-01-1990,25.5,20.7,28.4,0.0
5,06-01-1990,24.7,,26.1,0.5
6,07-01-1990,25.4,23.3,27.0,18.0
7,08-01-1990,25.6,22.0,28.0,0.5
8,09-01-1990,24.8,21.7,28.5,0.0
9,10-01-1990,24.7,20.7,29.0,0.0
10,11-01-1990,24.5,20.0,28.8,0.0
11,12-01-1990,23.8,18.0,29.4,0.0
12,13-01-1990,23.1,17.1,31.3,0.0
13,14-01-1990,23.9,17.5,31.8,0.0
14,15-01-1990,23.3,17.4,30.5,0.0
15,16-01-1990,23.3,18.0,29.8,0.0
16,17-01-1990,23.4,,28.9,0.0
17,18-01-1990,22.6,18.2,30.2,0.0
18,19-01-1990,23.0,17.2,30.4,0.0
19,20-01-1990,23.1,16.9,33.3,0.0
20,21-01-1990,24.2,17.0,32.9,0.0
21,22-01-1990,23.1,18.4,30.7,0.0
22,23-01-1990,24.2,20.4,29.6,0.0
23,24-01-1990,24.3,19.5,29.5,0.0
24,25-01-1990,24.8,20.1,30.9,0.0
25,26-01-1990,24.5,19.9,29.7,0.0
26,27-01-1990,24.1,19.9,29.6,0.0
27,28-01-1990,24.1,19.1,29.4,0.0
28,29-01-1990,23.9,20.2,29.75,0.0
29,30-01-1990,23.5,20.1,30.1,0.0
30,31-01-1990,23.7,,29.8,0.0
31,01-02-1990,23.8,18.6,30.0,0.0
32,02-02-1990,24.6,19.1,29.6,0.0
33,03-02-1990,23.9,19.4,30.1,0.0
34,04-02-1990,24.3,,30.066666666666666,31.0
35,05-02-1990,25.3,18.9,30.033333333333335,0.0
36,06-02-1990,24.3,19.8,30.0,0.0
37,07-02-1990,24.9,20.8,29.9,0.0
38,08-02-1990,25.8,22.0,30.3,0.0
39,09-02-1990,26.1,21.8,30.7,0.0
40,10-02-1990,26.8,22.4,30.9,0.0
41,11-02-1990,26.6,22.9,31.0,0.0
42,12-02-1990,26.7,22.8,31.3,0.0
43,13-02-1990,26.3,,31.35,0.0
44,14-02-1990,26.3,22.4,31.4,0.0
45,15-02-1990,27.9,,30.9,0.0
46,16-02-1990,27.0,24.3,30.4,0.0
47,17-02-1990,27.4,24.5,32.4,0.0
48,18-02-1990,27.7,24.8,32.5,0.0
49,19-02-1990,28.0,25.2,32.6,
50,20-02-1990,27.5,23.4,33.0,5.3
51,21-02-1990,28.2,24.8,36.0,0.0
52,22-02-1990,28.4,23.8,34.1,0.0
53,23-02-1990,28.3,24.7,32.6,0.0
54,24-02-1990,28.6,25.4,33.7,0.0
55,25-02-1990,28.6,25.0,34.3,0.0
56,26-02-1990,29.1,25.3,36.0,0.0
57,27-02-1990,29.4,24.7,33.8,0.0
58,28-02-1990,29.4,24.9,34.4,0.0
59,01-03-1990,28.1,24.1,33.5,0.0
60,02-03-1990,27.9,23.8,32.9,0.0
61,03-03-1990,29.9,24.7,35.8,0.0
62,04-03-1990,28.7,,33.3,0.0
63,05-03-1990,29.0,25.9,35.4,0.0
64,06-03-1990,28.3,,32.0,0.0
65,07-03-1990,29.1,25.9,35.1,0.0
66,08-03-1990,28.6,26.0,35.0,0.0
67,09-03-1990,27.6,25.2,32.4,
68,10-03-1990,27.2,24.4,29.8,
69,11-03-1990,26.3,23.5,30.7,
70,12-03-1990,27.7,24.4,32.1,0.0
71,13-03-1990,28.8,24.5,34.4,0.0
72,14-03-1990,29.3,26.0,35.1,0.0
73,15-03-1990,29.3,25.7,34.7,0.0
74,16-03-1990,28.3,,33.55,0.0
75,17-03-1990,28.3,23.9,32.4,0.0
76,18-03-1990,27.6,23.8,32.2,0.0
77,19-03-1990,28.1,22.9,32.4,
78,20-03-1990,28.6,,33.2,0.0
79,21-03-1990,28.2,24.7,33.7,0.0
80,22-03-1990,28.4,24.3,34.0,0.0
81,23-03-1990,29.2,24.4,36.2,0.0
82,24-03-1990,30.3,21.2,36.6,0.0
83,25-03-1990,30.6,,37.0,
84,26-03-1990,29.8,,37.4,0.0
85,27-03-1990,28.4,,34.4,7.1
86,28-03-1990,29.9,26.2,35.1,0.0
87,29-03-1990,29.4,26.8,34.0,0.0
88,30-03-1990,28.9,25.5,33.3,0.0
89,31-03-1990,28.7,25.2,33.1,0.0
90,01-04-1990,28.9,24.8,34.0,0.0
91,02-04-1990,28.1,24.8,35.3,0.0
92,03-04-1990,29.3,26.6,35.15,0.0
93,04-04-1990,29.8,26.2,35.0,0.0
94,05-04-1990,30.1,,35.5,0.0
95,06-04-1990,30.6,26.0,34.4,0.0
96,07-04-1990,29.8,26.0,33.3,0.0
97,08-04-1990,29.6,25.6,34.4,0.0
98,09-04-1990,29.8,26.3,35.75,0.0
99,10-04-1990,30.8,26.8,37.1,0.0
100,11-04-1990,31.4,26.6,36.9,0.0
101,12-04-1990,29.8,27.0,34.4,0.0
102,13-04-1990,30.5,26.2,35.7,0.0
103,14-04-1990,29.8,25.9,35.8,0.0
104,15-04-1990,30.6,26.1,34.4,0.0
105,16-04-1990,30.3,26.0,35.5,0.0
106,17-04-1990,30.2,26.6,34.6,0.0
107,18-04-1990,30.8,26.7,35.4,0.0
108,19-04-1990,32.3,26.5,39.6,0.0
109,20-04-1990,31.4,,40.9,
110,21-04-1990,32.8,28.4,40.7,0.0
111,22-04-1990,31.6,,40.4,0.0
112,23-04-1990,31.4,26.8,39.4,0.0
113,24-04-1990,30.7,26.3,36.7,0.0
114,25-04-1990,29.8,26.5,38.3,0.0
115,26-04-1990,29.4,26.3,35.5,0.0
116,27-04-1990,29.9,26.5,35.4,0.0
117,28-04-1990,30.5,26.6,36.0,0.0
118,29-04-1990,31.0,26.9,35.9,0.0
119,30-04-1990,30.5,,34.5,0.0
120,01-05-1990,30.3,27.3,34.6,0.0
121,02-05-1990,29.8,26.6,34.7,0.0
122,03-05-1990,30.3,25.7,35.0,0.0
123,04-05-1990,30.9,27.0,35.3,0.0
124,05-05-1990,30.6,26.5,34.5,0.0
125,06-05-1990,28.7,,33.9,0.0
126,07-05-1990,25.8,,29.3,31.2
127,08-05-1990,24.8,,31.200000000000003,126.5
128,09-05-1990,29.8,23.6,33.1,6.4
129,10-05-1990,28.2,,34.8,3.0
130,11-05-1990,28.7,,31.3,0.0
131,12-05-1990,27.3,26.0,29.5,4.8
132,13-05-1990,29.8,25.4,34.3,3.8
133,14-05-1990,30.1,,36.6,0.0
134,15-05-1990,31.6,27.1,38.6,0.0
135,16-05-1990,31.5,27.2,38.8,0.0
