,time,tavg,tmin,tmax,prcp
0,01-01-1990,9.4,6.0,15.1,0.0
1,02-01-1990,9.3,5.2,14.2,0.0
2,03-01-1990,9.0,6.5,13.6,0.0
3,04-01-1990,10.7,6.0,17.5,0.0
4,05-01-1990,12.6,7.3,20.8,0.0
5,06-01-1990,14.9,8.1,22.9,0.0
6,07-01-1990,14.4,8.1,21.4,0.0
7,08-01-1990,10.7,8.5,16.6,0.0
8,09-01-1990,13.4,7.0,20.6,0.0
9,10-01-1990,16.6,,22.8,0.0
10,11-01-1990,17.0,10.9,25.3,0.0
11,12-01-1990,17.7,9.8,26.5,0.0
12,13-01-1990,17.2,8.8,27.7,0.0
13,14-01-1990,16.6,10.8,23.9,0.0
14,15-01-1990,14.4,,23.1,0.0
15,16-01-1990,14.8,7.3,23.9,0.0
16,17-01-1990,17.8,10.2,26.2,0.0
17,18-01-1990,19.4,13.1,27.6,0.0
18,19-01-1990,19.1,12.1,25.8,0.0
19,20-01-1990,20.0,13.8,26.6,0.0
20,21-01-1990,18.8,12.5,27.0,0.0
21,22-01-1990,19.6,12.2,28.0,0.0
22,23-01-1990,17.8,12.4,26.65,0.0
23,24-01-1990,16.6,,25.3,0.0
24,25-01-1990,17.7,,26.1,0.0
25,26-01-1990,19.2,9.7,28.8,0.0
26,27-01-1990,20.0,13.3,26.1,0.0
27,28-01-1990,18.4,,25.6,0.0
28,29-01-1990,15.2,9.5,21.7,0.0
29,30-01-1990,15.5,10.1,22.1,0.0
30,31-01-1990,17.1,9.3,25.2,0.0
31,01-02-1990,17.9,,24.3,0.0
32,02-02-1990,13.2,,21.2,0.0
33,03-02-1990,14.5,7.3,21.5,0.0
34,04-02-1990,15.8,8.8,23.7,0.0
35,05-02-1990,15.8,8.8,24.166666666666668,0.0
36,06-02-1990,14.7,9.7,24.633333333333333,0.0
37,07-02-1990,18.4,12.8,25.1,0.0
38,08-02-1990,19.7,,24.7,
39,09-02-1990,20.3,14.1,26.5,0.5
40,10-02-1990,18.7,14.0,26.9,0.0
41,11-02-1990,18.2,11.5,23.1,0.0
42,12-02-1990,17.1,15.0,21.1,0.0
43,13-02-1990,16.2,,18.9,
44,14-02-1990,14.3,,19.3,0.0
45,15-02-1990,14.6,9.5,20.9,0.0
46,16-02-1990,14.6,8.8,21.7,0.0
47,17-02-1990,15.9,8.4,21.9,
48,18-02-1990,13.9,12.1,16.8,45.0
49,19-02-1990,15.1,13.1,19.5,1.8
50,20-02-1990,15.7,10.5,22.1,0.0
51,21-02-1990,17.1,11.4,23.6,0.0
52,22-02-1990,16.7,10.9,24.0,0.0
53,23-02-1990,18.8,,25.6,
54,24-02-1990,15.4,,17.8,1.3
55,25-02-1990,16.0,12.7,21.0,0.8
56,26-02-1990,17.5,12.1,23.0,1.0
57,27-02-1990,16.3,13.4,20.6,6.9
58,28-02-1990,14.6,,18.9,43.9
59,01-03-1990,14.9,8.3,22.1,0.0
60,02-03-1990,14.8,8.7,20.9,0.0
61,03-03-1990,15.5,9.4,22.6,0.0
62,04-03-1990,16.7,8.8,24.2,0.0
63,05-03-1990,17.3,9.3,25.1,0.0
64,06-03-1990,17.6,10.7,24.6,0.0
65,07-03-1990,17.3,11.0,25.9,0.0
66,08-03-1990,19.7,,27.9,0.0
67,09-03-1990,21.2,11.6,30.3,0.0
68,10-03-1990,21.8,15.0,28.5,0.0
69,11-03-1990,21.3,,26.7,
70,12-03-1990,21.4,13.6,27.3,0.0
71,13-03-1990,20.2,13.9,27.3,0.0
72,14-03-1990,21.8,13.6,28.8,0.0
73,15-03-1990,23.6,16.9,29.5,0.0
74,16-03-1990,24.8,18.4,31.3,0.0
75,17-03-1990,24.3,18.9,31.3,0.0
76,18-03-1990,26.3,20.2,31.9,0.0
77,19-03-1990,26.4,20.0,32.9,0.0
78,20-03-1990,26.2,21.1,32.4,0.0
79,21-03-1990,25.7,20.6,30.6,0.0
80,22-03-1990,24.8,,31.0,0.0
81,23-03-1990,20.6,,25.6,0.0
82,24-03-1990,19.7,12.8,26.1,0.0
83,25-03-1990,20.9,11.1,27.3,0.0
84,26-03-1990,22.2,13.6,27.0,0.0
85,27-03-1990,19.6,,22.5,0.3
86,28-03-1990,16.6,,25.2,2.5
87,29-03-1990,21.1,10.4,27.9,0.8
88,30-03-1990,22.9,16.4,29.8,0.0
89,31-03-1990,20.8,14.8,27.9,0.0
90,01-04-1990,20.9,,28.2,0.0
91,02-04-1990,20.6,14.6,29.0,0.0
92,03-04-1990,22.3,15.7,29.8,0.0
93,04-04-1990,23.3,13.5,30.9,0.0
94,05-04-1990,25.2,16.1,32.2,0.0
95,06-04-1990,25.2,19.9,29.8,
96,07-04-1990,26.4,19.0,33.0,0.0
97,08-04-1990,27.8,18.8,33.3,0.3
98,09-04-1990,26.5,19.8,33.6,0.0
99,10-04-1990,26.4,19.3,36.150000000000006,0.0
100,11-04-1990,29.7,,38.7,0.0
101,12-04-1990,29.5,22.1,36.9,0.0
102,13-04-1990,24.6,20.4,32.9,0.3
103,14-04-1990,27.2,19.3,33.0,0.0
104,15-04-1990,29.3,,36.0,0.0
105,16-04-1990,28.7,21.8,37.1,0.0
106,17-04-1990,31.1,21.7,39.8,0.0
107,18-04-1990,31.3,24.0,39.0,0.0
108,19-04-1990,31.7,24.6,38.65,0.0
109,20-04-1990,32.4,22.6,38.3,0.0
110,21-04-1990,31.1,21.8,39.7,0.0
111,22-04-1990,30.0,23.7,39.8,
112,23-04-1990,31.6,22.6,39.1,0.0
113,24-04-1990,33.1,26.3,40.1,0.0
114,25-04-1990,32.2,24.2,40.9,0.0
115,26-04-1990,34.4,24.7,42.0,0.0
116,27-04-1990,30.6,,36.8,0.0
117,28-04-1990,29.4,,36.6,0.0
118,29-04-1990,30.1,21.3,36.6,0.0
119,30-04-1990,30.8,23.6,37.8,0.0
120,01-05-1990,29.8,25.0,36.0,
121,02-05-1990,24.9,,28.6,0.3
122,03-05-1990,28.1,20.6,34.9,1.0
123,04-05-1990,28.8,22.3,34.4,1.0
124,05-05-1990,22.2,17.9,26.2,36.6
125,06-05-1990,26.2,19.8,32.9,0.0
126,07-05-1990,27.8,22.2,34.0,0.0
127,08-05-1990,30.6,23.6,36.4,0.0
128,09-05-1990,32.2,25.6,38.0,0.0
129,10-05-1990,32.9,26.9,38.0,0.0
130,11-05-1990,29.7,,38.0,0.0
131,12-05-1990,30.2,,36.8,
132,13-05-1990,31.1,,35.4,0.0
133,14-05-1990,33.6,26.2,39.3,0.0
134,15-05-1990,34.6,28.7,39.9,0.0
135,16-05-1990,32.6,27.5,37.5,0.0
136,17-05-1990,34.7,,41.0,
137,18-05-1990,32.3,26.7,40.2,0.0
138,19-05-1990,32.3,27.0,39.4,0.0
139,20-05-1990,32.7,25.5,39.5,3.0
140,21-05-1990,33.7,28.5,40.0,0.0
141,22-05-1990,32.6,27.8,40.9,0.0
142,23-05-1990,32.8,26.7,41.099999999999994,0.0
143,24-05-1990,33.6,26.4,41.3,0.0
144,25-05-1990,32.9,28.0,41.55,0.0
145,26-05-1990,35.7,29.8,41.8,0.0
146,27-05-1990,36.2,31.2,41.7,0.0
147,28-05-1990,36.9,31.8,42.7,0.0
148,29-05-1990,33.7,,42.5,
149,30-05-1990,31.5,26.4,38.7,
150,31-05-1990,30.6,,37.3,0.0
151,01-06-1990,32.4,26.8,40.2,0.0
152,02-06-1990,34.9,27.1,41.0,0.0
153,03-06-1990,36.6,30.5,41.7,0.0
154,04-06-1990,36.1,29.8,42.2,
155,05-06-1990,35.9,29.9,42.5,0.0
156,06-06-1990,34.1,,41.6,
157,07-06-1990,35.2,25.3,40.9,11.4
158,08-06-1990,35.3,29.8,41.6,0.0
159,09-06-1990,36.0,29.9,42.1,
160,10-06-1990,35.8,30.0,41.6,0.0
161,11-06-1990,34.2,27.9,39.4,0.0
