,time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
0,1990-01-01,20.1,,28.0,0.0,,,,,,
1,1990-01-02,20.7,16.4,27.7,0.0,,,,,,
2,1990-01-03,20.7,16.0,27.4,0.0,,,,,,
3,1990-01-04,18.8,,28.0,0.0,,,,,,
4,1990-01-05,19.8,11.0,28.2,0.0,,,,,,
5,1990-01-06,22.2,12.5,28.633333333333333,0.0,,,,,,
6,1990-01-07,20.8,,29.066666666666666,0.0,,,,,,
7,1990-01-08,20.3,13.6,29.5,0.0,,,,,,
8,1990-01-09,22.3,14.8,31.6,0.0,,,,,,
9,1990-01-10,21.6,14.5,30.8,0.0,,,,,,
10,1990-01-11,21.7,15.6,30.7,0.0,,,,,,
11,1990-01-12,21.2,12.8,29.3,0.0,,,,,,
12,1990-01-13,22.6,,29.5,,,,,,,
13,1990-01-14,24.9,14.0,32.1,0.0,,,,,,
14,1990-01-15,24.7,15.5,33.4,0.0,,,,,,
15,1990-01-16,23.4,15.6,31.3,0.0,,,,,,
16,1990-01-17,19.7,15.0,32.7,0.0,,,,,,
17,1990-01-18,29.5,,34.1,,,,,,,
18,1990-01-19,24.2,16.2,33.4,0.0,,,,,,
19,1990-01-20,26.4,15.4,34.0,0.0,,,,,,
20,1990-01-21,25.1,17.0,32.1,0.0,,,,,,
21,1990-01-22,25.3,17.7,32.9,0.0,,,,,,
22,1990-01-23,24.9,17.3,33.6,0.0,,,,,,
23,1990-01-24,25.8,,32.7,0.0,,,,,,
24,1990-01-25,25.4,18.4,33.0,0.0,,,,,,
25,1990-01-26,25.1,18.8,32.3,0.0,,,,,,
26,1990-01-27,24.3,14.2,33.0,0.0,,,,,,
27,1990-01-28,22.3,15.0,33.0,0.0,,,,,,
28,1990-01-29,22.4,15.8,34.0,0.0,,,,,,
29,1990-01-30,26.6,17.0,35.0,0.0,,,,,,
30,1990-01-31,25.1,17.4,34.4,0.0,,,,,,
31,1990-02-01,25.6,17.4,34.0,0.0,,,,,,
32,1990-02-02,26.8,,33.5,0.0,,,,,,
33,1990-02-03,26.5,,32.5,0.0,,,,,,
34,1990-02-04,25.4,19.7,34.0,0.0,,,,,,
35,1990-02-05,26.2,19.6,33.7,0.0,,,,,,
36,1990-02-06,24.8,19.8,32.8,0.0,,,,,,
37,1990-02-07,25.4,19.2,32.9,0.0,,,,,,
38,1990-02-08,24.2,,32.666666666666664,0.0,,,,,,
39,1990-02-09,25.1,19.4,32.43333333333334,0.0,,,,,,
40,1990-02-10,27.1,18.5,32.2,,,,,,,
41,1990-02-11,25.6,18.8,33.3,0.0,,,,,,
42,1990-02-12,25.4,19.1,35.4,0.0,,,,,,
43,1990-02-13,24.4,,34.6,0.0,,,,,,
44,1990-02-14,26.2,21.6,31.0,,,,,,,
45,1990-02-15,20.8,,24.0,5.1,,,,,,
46,1990-02-16,23.1,17.3,29.2,6.6,,,,,,
47,1990-02-17,24.4,19.0,32.0,0.0,,,,,,
48,1990-02-18,21.6,19.6,26.3,9.1,,,,,,
49,1990-02-19,24.1,,29.1,0.0,,,,,,
50,1990-02-20,23.4,18.4,29.75,0.0,,,,,,
51,1990-02-21,22.6,18.6,30.4,14.7,,,,,,
52,1990-02-22,24.2,19.2,29.8,0.0,,,,,,
53,1990-02-23,24.5,19.5,29.700000000000003,,,,,,,
54,1990-02-24,23.1,18.7,29.6,5.3,,,,,,
55,1990-02-25,24.7,18.8,30.900000000000002,0.0,,,,,,
56,1990-02-26,26.8,20.4,32.2,0.0,,,,,,
57,1990-02-27,25.9,18.8,33.5,0.0,,,,,,
58,1990-02-28,25.7,21.2,32.4,0.0,,,,,,
59,1990-03-01,26.9,22.5,33.8,,,,,,,
60,1990-03-02,25.6,,32.7,0.0,,,,,,
61,1990-03-03,21.4,17.2,25.2,52.3,,,,,,
62,1990-03-04,22.3,18.0,27.1,3.0,,,,,,
