,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover
0,2010-01-01,1262284200,27.1,17.1,21.8,27.2,17.1,21.8,16.0,72.4,0.3,100.0,4.17
1,2010-01-02,1262370600,27.0,16.1,21.0,26.8,16.1,20.9,13.6,67.0,0.0,0.0,0.0
2,2010-01-03,1262457000,26.1,16.1,20.3,26.1,16.1,20.3,13.4,67.9,0.0,0.0,0.0
3,2010-01-04,1262543400,27.1,12.1,20.1,26.7,12.1,20.1,10.2,59.8,0.0,0.0,0.0
4,2010-01-05,1262629800,28.0,11.1,20.6,27.1,11.1,20.5,11.5,60.8,0.0,0.0,0.0
5,2010-01-06,1262716200,26.3,14.0,20.4,26.3,14.0,20.4,12.5,64.1,0.0,0.0,0.0
6,2010-01-07,1262802600,25.6,13.0,19.3,25.6,13.0,19.3,14.4,75.2,0.0,0.0,0.0
7,2010-01-08,1262889000,26.5,16.0,21.0,26.5,16.0,21.0,16.0,75.2,0.0,0.0,0.0
8,2010-01-09,1262975400,27.5,19.0,22.5,27.9,19.0,22.5,17.5,74.7,0.0,0.0,0.0
9,2010-01-10,1263061800,27.0,19.0,22.5,27.2,19.0,22.5,17.5,75.3,1.4,100.0,41.67
10,2010-01-11,1263148200,28.5,20.0,23.3,28.8,20.0,23.4,18.3,75.3,0.2,100.0,8.33
11,2010-01-12,1263234600,27.8,19.0,22.8,28.5,19.0,22.8,18.4,78.5,0.0,0.0,0.0
12,2010-01-13,1263321000,28.0,20.0,23.3,28.7,20.0,23.4,19.0,77.9,0.0,0.0,0.0
13,2010-01-14,1263407400,28.0,19.5,23.2,28.3,19.5,23.3,18.0,74.4,0.0,0.0,0.0
14,2010-01-15,1263493800,26.0,17.5,21.8,26.0,17.5,21.8,16.2,72.7,0.0,0.0,0.0
15,2010-01-16,1263580200,27.0,14.0,20.3,26.7,14.0,20.2,13.4,68.5,0.0,0.0,0.0
16,2010-01-17,1263666600,27.0,12.0,20.1,27.5,12.0,20.1,13.6,68.7,0.0,0.0,0.0
17,2010-01-18,1263753000,28.0,19.0,22.5,27.6,19.0,22.5,15.4,67.3,0.0,0.0,0.0
18,2010-01-19,1263839400,27.5,17.5,21.9,27.5,17.5,21.9,16.3,72.6,0.0,0.0,0.0
19,2010-01-20,1263925800,26.5,17.0,21.5,26.5,17.0,21.5,14.0,65.5,0.0,0.0,0.0
20,2010-01-21,1264012200,26.1,14.0,20.0,26.1,14.0,20.0,10.6,59.6,0.0,0.0,0.0
21,2010-01-22,1264098600,27.0,11.5,19.1,26.0,11.5,19.1,7.4,53.5,0.0,0.0,0.0
22,2010-01-23,1264185000,27.0,11.5,19.1,26.0,11.5,19.1,7.0,53.8,0.0,0.0,0.0
23,2010-01-24,1264271400,26.5,12.0,19.8,26.5,12.0,19.8,10.4,60.4,0.0,0.0,0.0
24,2010-01-25,1264357800,26.0,16.0,20.6,26.0,16.0,20.6,13.0,65.4,0.0,0.0,0.0
25,2010-01-26,1264444200,26.5,17.9,21.3,26.5,17.9,21.3,13.5,63.8,0.0,0.0,0.0
26,2010-01-27,1264530600,27.0,16.0,21.2,26.7,16.0,21.2,13.5,64.8,0.0,0.0,0.0
27,2010-01-28,1264617000,27.0,15.5,21.4,26.7,15.5,21.4,14.2,66.9,0.0,0.0,0.0
28,2010-01-29,1264703400,27.3,14.0,21.2,26.7,14.0,21.2,13.1,64.6,0.0,0.0,0.0
29,2010-01-30,1264789800,28.0,13.5,21.3,27.1,13.5,21.2,11.4,57.9,0.0,0.0,0.0
30,2010-01-31,1264876200,28.1,15.5,21.5,27.1,15.5,21.3,12.6,62.2,0.0,0.0,0.0
31,2010-02-01,1264962600,27.8,14.5,21.0,27.1,14.5,20.9,12.1,62.0,0.0,0.0,0.0
32,2010-02-02,1265049000,27.3,13.5,20.7,26.6,13.5,20.6,11.7,61.9,0.0,0.0,0.0
33,2010-02-03,1265135400,28.0,12.5,20.9,27.0,12.5,20.8,8.9,53.4,0.0,0.0,0.0
34,2010-02-04,1265221800,27.3,12.0,20.3,26.6,12.0,20.2,10.2,57.3,0.0,0.0,0.0
