Unnamed: 0,dt,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,CO
0.0,2020-11-25,4.0,487.33,0.11,15.94,110.15,15.5,34.5,36.41,2.09,
1.0,2020-11-26,4.0,547.41,0.08,17.65,88.69,18.84,34.41,37.36,1.12,
2.0,2020-11-27,5.0,9826.66,303.98,102.82,65.8,108.72,561.89,613.12,68.9,
3.0,2020-11-28,5.0,1869.2,25.71,53.47,67.23,62.94,90.04,101.58,11.02,
4.0,2020-11-29,5.0,774.38,6.82,25.02,89.41,37.67,69.86,77.81,5.51,
5.0,2020-11-30,5.0,754.36,0.73,29.13,113.01,30.28,96.65,126.34,6.02,
6.0,2020-12-01,5.0,1001.36,1.3,40.78,123.02,35.29,105.42,134.05,8.61,
7.0,2020-12-02,5.0,687.6,0.01,25.02,143.05,29.8,120.37,129.15,3.83,
8.0,2020-12-03,4.0,660.9,0.04,21.42,77.96,16.69,39.65,42.06,3.2,
9.0,2020-12-04,4.0,720.98,0.18,23.65,75.82,17.41,31.52,34.45,3.23,
10.0,2020-12-05,4.0,654.22,0.03,17.82,71.53,20.98,30.23,32.94,2.47,
11.0,2020-12-06,2.0,594.14,0.76,18.34,59.37,17.17,18.41,21.75,3.67,
12.0,2020-12-07,5.0,1014.71,0.18,31.87,65.09,27.18,51.82,58.23,6.97,
13.0,2020-12-08,5.0,1842.5,11.74,61.69,77.96,36.72,109.15,125.52,13.3,
14.0,2020-12-09,5.0,1094.82,2.54,39.07,95.84,39.58,105.12,128.41,9.12,
15.0,2020-12-10,5.0,2216.34,19.22,84.31,115.87,51.02,183.06,214.53,17.48,
16.0,2020-12-11,5.0,2563.48,37.1,80.2,130.18,59.13,226.86,260.4,15.83,
17.0,2020-12-12,5.0,3738.4,48.28,82.25,137.33,39.1,275.83,328.92,19.76,
18.0,2020-12-13,5.0,1455.31,10.95,52.09,104.43,53.88,150.81,172.71,10.89,
19.0,2020-12-14,5.0,2323.15,16.99,78.14,97.28,51.02,181.25,210.34,21.28,
20.0,2020-12-15,5.0,1361.85,2.49,54.15,114.44,37.19,148.26,167.81,8.49,
21.0,2020-12-16,5.0,1041.41,0.15,41.47,92.98,25.51,87.65,105.33,7.79,
22.0,2020-12-17,5.0,694.28,0.41,30.16,84.4,26.23,53.8,71.41,5.64,
23.0,2020-12-18,5.0,801.09,1.72,31.53,95.84,26.7,67.69,83.21,6.65,
24.0,2020-12-19,5.0,827.79,1.17,20.56,115.87,18.84,119.66,142.88,2.53,
25.0,2020-12-20,5.0,667.57,0.92,19.19,123.02,20.5,85.77,110.18,3.93,
26.0,2020-12-21,5.0,801.09,1.73,32.22,133.04,30.52,81.37,106.69,9.12,
27.0,2020-12-22,5.0,1348.5,1.98,54.15,108.72,44.82,102.77,132.98,16.47,
28.0,2020-12-23,5.0,1708.98,4.75,66.49,131.61,38.62,116.18,145.45,16.97,
29.0,2020-12-24,5.0,2216.34,7.15,81.57,130.18,50.07,150.0,182.71,24.32,
30.0,2020-12-25,5.0,1228.33,5.92,52.09,127.32,42.92,106.94,125.03,13.93,
31.0,2020-12-26,5.0,1401.9,4.08,56.21,141.62,45.78,129.34,151.75,12.54,
32.0,2020-12-27,5.0,1121.52,1.72,37.01,144.48,33.38,175.9,204.83,7.92,
33.0,2020-12-28,5.0,1401.9,1.29,50.72,144.48,43.87,210.97,245.29,10.64,
34.0,2020-12-29,5.0,1041.41,1.03,46.61,118.73,38.15,104.23,134.23,9.75,
35.0,2020-12-30,5.0,774.38,1.96,34.96,110.15,37.19,81.63,107.77,6.59,
36.0,2020-12-31,5.0,687.6,0.82,24.68,124.45,22.17,104.37,136.1,6.71,
37.0,2021-01-01,5.0,1281.74,1.23,46.61,143.05,29.33,143.8,178.37,12.29,
38.0,2021-01-02,4.0,594.14,0.91,21.94,82.25,17.88,41.94,50.7,3.96,
39.0,2021-01-03,4.0,620.84,1.57,18.51,82.97,19.79,34.76,46.98,4.05,
40.0,2021-01-04,5.0,854.49,2.26,30.85,91.55,32.42,51.67,59.27,5.95,
41.0,2021-01-05,5.0,1415.25,2.82,46.61,57.22,29.09,78.21,88.22,10.77,
42.0,2021-01-06,5.0,2189.64,34.42,43.87,47.92,39.1,117.96,133.43,17.23,
43.0,2021-01-07,5.0,3204.35,80.47,43.87,51.5,63.9,174.37,194.97,21.03,
44.0,2021-01-08,5.0,1174.93,12.52,37.36,52.93,44.82,75.26,87.93,9.5,
45.0,2021-01-09,5.0,834.47,0.87,32.56,58.65,26.46,65.18,75.2,5.64,
46.0,2021-01-10,5.0,821.11,1.44,36.67,69.38,29.8,82.45,103.94,6.08,
47.0,2021-01-11,5.0,847.82,0.75,39.41,60.08,41.01,73.94,93.29,6.27,
48.0,2021-01-12,5.0,694.28,1.13,29.47,54.36,25.27,59.23,70.83,5.38,
49.0,2021-01-13,5.0,1335.14,2.54,52.78,72.96,31.95,109.0,128.49,9.5,
50.0,2021-01-14,5.0,1054.76,1.84,40.1,88.69,27.42,124.61,144.25,4.02,
51.0,2021-01-15,5.0,2510.07,35.32,65.12,73.67,42.44,150.69,184.37,14.44,
52.0,2021-01-16,5.0,1922.61,9.84,67.86,105.86,38.15,114.62,137.65,16.21,
53.0,2021-01-17,5.0,3524.78,73.31,63.75,118.73,61.99,212.53,248.07,35.97,
54.0,2021-01-18,5.0,1375.2,3.33,58.95,104.43,41.96,91.48,111.87,12.16,
55.0,2021-01-19,5.0,1482.01,8.05,59.63,124.45,49.11,95.28,115.45,11.15,
56.0,2021-01-20,5.0,1508.71,7.71,62.38,90.12,57.22,126.21,150.22,10.89,
57.0,2021-01-21,5.0,2590.18,36.21,57.58,73.67,116.35,154.98,170.98,23.56,
58.0,2021-01-22,5.0,4112.24,101.03,67.17,86.55,83.92,249.53,268.56,17.23,
59.0,2021-01-23,5.0,3337.86,81.36,49.35,62.23,53.41,171.01,198.0,40.53,
60.0,2021-01-24,5.0,3791.81,101.92,65.12,55.79,160.22,178.64,194.84,26.09,
61.0,2021-01-25,5.0,4539.49,99.24,71.29,81.54,93.46,250.01,290.64,33.44,
