Unnamed: 0,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,windspeed,cloudcover,conditions
0.0,2010-01-01,1262284200.0,27.1,17.1,21.8,27.2,17.1,21.8,16.0,72.4,0.3,100.0,4.17,,,
1.0,2010-01-02,1262370600.0,27.0,16.1,21.0,26.8,16.1,20.9,13.6,67.0,0.0,0.0,0.0,,,
2.0,2010-01-03,1262457000.0,26.1,16.1,20.3,26.1,16.1,20.3,13.4,67.9,0.0,0.0,0.0,,,
3.0,2010-01-04,1262543400.0,27.1,12.1,20.1,26.7,12.1,20.1,10.2,59.8,0.0,0.0,0.0,,,
4.0,2010-01-05,1262629800.0,28.0,11.1,20.6,27.1,11.1,20.5,11.5,60.8,0.0,0.0,0.0,,,
5.0,2010-01-06,1262716200.0,26.3,14.0,20.4,26.3,14.0,20.4,12.5,64.1,0.0,0.0,0.0,,,
6.0,2010-01-07,1262802600.0,25.6,13.0,19.3,25.6,13.0,19.3,14.4,75.2,0.0,0.0,0.0,,,
7.0,2010-01-08,1262889000.0,26.5,16.0,21.0,26.5,16.0,21.0,16.0,75.2,0.0,0.0,0.0,,,
8.0,2010-01-09,1262975400.0,27.5,19.0,22.5,27.9,19.0,22.5,17.5,74.7,0.0,0.0,0.0,,,
9.0,2010-01-10,1263061800.0,27.0,19.0,22.5,27.2,19.0,22.5,17.5,75.3,1.4,100.0,41.67,,,
10.0,2010-01-11,1263148200.0,28.5,20.0,23.3,28.8,20.0,23.4,18.3,75.3,0.2,100.0,8.33,,,
11.0,2010-01-12,1263234600.0,27.8,19.0,22.8,28.5,19.0,22.8,18.4,78.5,0.0,0.0,0.0,,,
12.0,2010-01-13,1263321000.0,28.0,20.0,23.3,28.7,20.0,23.4,19.0,77.9,0.0,0.0,0.0,,,
13.0,2010-01-14,1263407400.0,28.0,19.5,23.2,28.3,19.5,23.3,18.0,74.4,0.0,0.0,0.0,,,
14.0,2010-01-15,1263493800.0,26.0,17.5,21.8,26.0,17.5,21.8,16.2,72.7,0.0,0.0,0.0,,,
15.0,2010-01-16,1263580200.0,27.0,14.0,20.3,26.7,14.0,20.2,13.4,68.5,0.0,0.0,0.0,,,
16.0,2010-01-17,1263666600.0,27.0,12.0,20.1,27.5,12.0,20.1,13.6,68.7,0.0,0.0,0.0,,,
17.0,2010-01-18,1263753000.0,28.0,19.0,22.5,27.6,19.0,22.5,15.4,67.3,0.0,0.0,0.0,,,
18.0,2010-01-19,1263839400.0,27.5,17.5,21.9,27.5,17.5,21.9,16.3,72.6,0.0,0.0,0.0,,,
19.0,2010-01-20,1263925800.0,26.5,17.0,21.5,26.5,17.0,21.5,14.0,65.5,0.0,0.0,0.0,,,
20.0,2010-01-21,1264012200.0,26.1,14.0,20.0,26.1,14.0,20.0,10.6,59.6,0.0,0.0,0.0,,,
21.0,2010-01-22,1264098600.0,27.0,11.5,19.1,26.0,11.5,19.1,7.4,53.5,0.0,0.0,0.0,,,
22.0,2010-01-23,1264185000.0,27.0,11.5,19.1,26.0,11.5,19.1,7.0,53.8,0.0,0.0,0.0,,,
23.0,2010-01-24,1264271400.0,26.5,12.0,19.8,26.5,12.0,19.8,10.4,60.4,0.0,0.0,0.0,,,
24.0,2010-01-25,1264357800.0,26.0,16.0,20.6,26.0,16.0,20.6,13.0,65.4,0.0,0.0,0.0,,,
25.0,2010-01-26,1264444200.0,26.5,17.9,21.3,26.5,17.9,21.3,13.5,63.8,0.0,0.0,0.0,,,
26.0,2010-01-27,1264530600.0,27.0,16.0,21.2,26.7,16.0,21.2,13.5,64.8,0.0,0.0,0.0,,,
27.0,2010-01-28,1264617000.0,27.0,15.5,21.4,26.7,15.5,21.4,14.2,66.9,0.0,0.0,0.0,,,
28.0,2010-01-29,1264703400.0,27.3,14.0,21.2,26.7,14.0,21.2,13.1,64.6,0.0,0.0,0.0,,,
29.0,2010-01-30,1264789800.0,28.0,13.5,21.3,27.1,13.5,21.2,11.4,57.9,0.0,0.0,0.0,,,
30.0,2010-01-31,1264876200.0,28.1,15.5,21.5,27.1,15.5,21.3,12.6,62.2,0.0,0.0,0.0,,,
31.0,2010-02-01,1264962600.0,27.8,14.5,21.0,27.1,14.5,20.9,12.1,62.0,0.0,0.0,0.0,,,
32.0,2010-02-02,1265049000.0,27.3,13.5,20.7,26.6,13.5,20.6,11.7,61.9,0.0,0.0,0.0,,,
33.0,2010-02-03,1265135400.0,28.0,12.5,20.9,27.0,12.5,20.8,8.9,53.4,0.0,0.0,0.0,,,
34.0,2010-02-04,1265221800.0,27.3,12.0,20.3,26.6,12.0,20.2,10.2,57.3,0.0,0.0,0.0,,,
35.0,2010-02-05,1265308200.0,27.6,12.0,20.5,26.6,12.0,20.3,9.9,57.6,0.0,0.0,0.0,,,
36.0,2010-02-06,1265394600.0,27.0,10.5,20.3,26.6,10.5,20.2,10.8,59.9,0.0,0.0,0.0,,,
37.0,2010-02-07,1265481000.0,26.6,14.5,20.4,26.6,14.5,20.4,12.4,64.1,0.0,0.0,0.0,,,
38.0,2010-02-08,1265567400.0,32.7,14.0,21.7,30.4,14.0,21.5,10.0,54.1,0.0,0.0,0.0,,,
39.0,2010-02-09,1265653800.0,34.5,14.0,23.9,32.3,14.0,23.3,11.2,52.1,0.0,0.0,0.0,,,
40.0,2010-02-10,1265740200.0,33.9,16.8,24.3,32.2,16.8,23.9,13.1,55.0,0.0,0.0,0.0,,,
41.0,2010-02-11,1265826600.0,33.7,18.6,24.9,31.8,18.6,24.5,13.9,56.1,0.0,0.0,0.0,,,
42.0,2010-02-12,1265913000.0,34.1,19.1,25.4,32.7,19.1,25.1,15.2,58.4,0.0,0.0,0.0,,,
43.0,2010-02-13,1265999400.0,35.4,17.1,25.5,33.6,17.1,24.9,14.1,56.6,0.0,0.0,0.0,,,
44.0,2010-02-14,1266085800.0,34.1,17.0,25.8,32.1,17.0,25.1,12.7,51.3,0.0,0.0,0.0,,,
45.0,2010-02-15,1266172200.0,35.9,16.0,25.7,33.5,16.0,25.0,12.4,51.8,0.0,0.0,0.0,,,
46.0,2010-02-16,1266258600.0,35.4,17.0,25.0,32.8,17.0,24.3,11.7,53.7,0.0,0.0,0.0,,,
47.0,2010-02-17,1266345000.0,36.2,17.0,25.8,33.9,17.0,25.0,12.2,51.9,0.0,0.0,0.0,,,
48.0,2010-02-18,1266431400.0,36.1,18.6,26.2,33.3,18.6,25.4,10.9,48.8,0.0,0.0,0.0,,,
49.0,2010-02-19,1266517800.0,34.3,20.0,26.3,31.9,20.0,25.7,9.8,39.5,0.0,0.0,0.0,,,
50.0,2010-02-20,1266604200.0,36.4,16.1,26.1,33.8,16.1,25.3,9.7,43.6,0.0,0.0,0.0,,,
51.0,2010-02-21,1266690600.0,36.1,17.1,26.3,33.9,17.1,25.6,12.2,48.3,0.0,0.0,0.0,,,
52.0,2010-02-22,1266777000.0,36.2,18.0,26.8,34.0,18.0,26.1,12.7,47.7,0.0,0.0,0.0,,,
53.0,2010-02-23,1266863400.0,36.1,18.1,26.9,34.2,18.1,26.2,13.1,48.8,0.0,0.0,0.0,,,
54.0,2010-02-24,1266949800.0,35.7,20.8,27.8,34.4,20.8,27.5,14.8,48.4,0.0,0.0,0.0,,,
55.0,2010-02-25,1267036200.0,34.4,22.4,28.2,33.4,22.4,27.9,14.8,46.3,0.0,0.0,0.0,,,
56.0,2010-02-26,1267122600.0,35.2,21.0,28.3,33.5,21.0,27.6,13.5,43.5,0.0,0.0,0.0,,,
57.0,2010-02-27,1267209000.0,37.0,21.1,28.1,34.8,21.1,27.1,11.5,41.5,0.0,0.0,0.0,,,
58.0,2010-02-28,1267295400.0,36.7,17.0,26.9,34.0,17.0,26.0,10.2,42.2,0.0,0.0,0.0,,,
59.0,2010-03-01,1267381800.0,36.2,18.5,26.3,33.4,18.5,25.4,6.9,35.5,0.0,0.0,0.0,,,
60.0,2010-03-02,1267468200.0,36.7,17.3,25.9,33.9,17.3,25.0,7.2,37.9,0.0,0.0,0.0,,,
61.0,2010-03-03,1267554600.0,37.1,17.6,26.2,34.2,17.6,25.3,6.0,32.9,0.0,0.0,0.0,,,
62.0,2010-03-04,1267641000.0,36.9,17.6,26.7,34.4,17.6,25.9,8.9,36.7,0.0,0.0,0.0,,,
63.0,2010-03-05,1267727400.0,37.6,19.1,27.5,35.4,19.1,26.8,10.5,38.2,0.0,0.0,0.0,,,
