,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover
0,2010-01-01,1262284200,20.8,7.0,13.3,20.8,5.9,13.1,8.7,76.7,0.0,0.0,0.0
1,2010-01-02,1262370600,15.0,8.5,10.5,15.0,7.0,10.2,9.8,95.5,0.0,0.0,0.0
2,2010-01-03,1262457000,15.1,9.1,12.0,15.1,7.0,11.8,10.3,90.6,0.794,100.0,4.17
3,2010-01-04,1262543400,13.2,9.0,11.0,13.2,6.4,10.4,9.2,89.7,0.0,0.0,0.0
4,2010-01-05,1262629800,17.0,9.0,12.0,17.0,6.6,11.4,9.4,85.6,0.0,0.0,0.0
5,2010-01-06,1262716200,18.2,7.0,12.4,18.2,7.0,12.3,9.3,83.4,0.0,0.0,0.0
6,2010-01-07,1262802600,20.8,8.0,12.4,20.8,8.0,12.4,9.6,86.5,0.0,0.0,0.0
7,2010-01-08,1262889000,12.2,8.0,10.0,12.2,6.5,9.6,9.7,97.6,0.0,0.0,0.0
8,2010-01-09,1262975400,20.4,9.6,11.9,20.4,8.4,11.6,8.6,82.9,0.0,0.0,0.0
9,2010-01-10,1263061800,10.9,8.0,8.8,10.9,6.0,8.0,8.2,96.1,0.0,0.0,0.0
10,2010-01-11,1263148200,13.9,6.0,9.2,13.9,4.4,8.7,6.3,84.1,0.0,0.0,0.0
11,2010-01-12,1263234600,14.0,7.0,9.6,14.0,6.5,9.2,6.6,82.4,0.635,100.0,4.17
12,2010-01-13,1263321000,16.0,9.0,11.3,16.0,7.5,10.8,8.8,86.0,3.333,100.0,4.17
13,2010-01-14,1263407400,15.4,7.0,10.5,15.4,4.8,9.8,9.1,91.7,0.0,0.0,0.0
14,2010-01-15,1263493800,16.0,7.0,11.2,16.0,4.8,10.4,9.0,87.7,0.0,0.0,0.0
15,2010-01-16,1263580200,20.1,4.0,12.1,20.1,4.0,11.9,8.1,79.6,0.0,0.0,0.0
16,2010-01-17,1263666600,16.0,8.0,10.7,16.0,6.8,10.3,9.8,94.3,0.0,0.0,0.0
17,2010-01-18,1263753000,18.2,8.0,12.0,18.2,7.4,11.8,8.6,82.2,0.0,0.0,0.0
18,2010-01-19,1263839400,19.0,8.0,12.1,19.0,7.0,12.0,8.7,82.0,0.0,0.0,0.0
19,2010-01-20,1263925800,19.1,6.0,11.3,19.1,6.0,11.2,9.0,87.5,0.0,0.0,0.0
20,2010-01-21,1264012200,24.0,7.0,11.6,24.0,6.7,11.5,8.2,85.1,0.0,0.0,0.0
21,2010-01-22,1264098600,19.0,8.0,12.3,19.0,8.0,12.2,9.6,85.5,0.0,0.0,0.0
22,2010-01-23,1264185000,21.4,8.5,14.0,21.4,7.9,13.9,9.9,80.4,0.0,0.0,0.0
23,2010-01-24,1264271400,24.4,8.9,15.8,24.4,8.9,15.8,11.1,78.1,0.0,0.0,0.0
24,2010-01-25,1264357800,23.9,12.6,17.2,23.9,12.6,17.2,11.9,74.2,0.0,0.0,0.0
25,2010-01-26,1264444200,21.3,9.4,14.2,21.3,9.4,14.2,11.1,84.5,0.0,0.0,0.0
26,2010-01-27,1264530600,23.2,9.0,15.5,23.2,9.0,15.4,11.7,81.1,0.0,0.0,0.0
27,2010-01-28,1264617000,25.9,11.8,18.5,25.9,11.8,18.5,11.3,67.1,0.0,0.0,0.0
