ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-01-01,32.554343700000004,16.5582772309356,23.55100888366823,32.554343700000004,32.554343700000004,-12.550951721791874,-12.550951721791874,-12.550951721791874,-0.054897477121960886,-0.054897477121960886,-0.054897477121960886,-12.496054244669914,-12.496054244669914,-12.496054244669914,0.0,0.0,0.0,20.00339197820813
2010-01-02,32.5526406132421,16.511924951855786,23.16233597820693,32.5526406132421,32.5526406132421,-12.685412745719425,-12.685412745719425,-12.685412745719425,-0.09814141493574266,-0.09814141493574266,-0.09814141493574266,-12.587271330783683,-12.587271330783683,-12.587271330783683,0.0,0.0,0.0,19.867227867522672
2010-01-03,32.5509375264842,16.310534803172672,23.525292879606145,32.5509375264842,32.5509375264842,-12.699481585910275,-12.699481585910275,-12.699481585910275,-0.03547155667723406,-0.03547155667723406,-0.03547155667723406,-12.66401002923304,-12.66401002923304,-12.66401002923304,0.0,0.0,0.0,19.85145594057392
2010-01-04,32.5492344397263,16.45869507661526,23.3259599953134,32.5492344397263,32.5492344397263,-12.699925920839013,-12.699925920839013,-12.699925920839013,0.026469210111618333,0.026469210111618333,0.026469210111618333,-12.72639513095063,-12.72639513095063,-12.72639513095063,0.0,0.0,0.0,19.849308518887284
2010-01-05,32.54753135296839,16.543811131770575,23.248995725320757,32.54753135296839,32.54753135296839,-12.680915360324782,-12.680915360324782,-12.680915360324782,0.09368299136643263,0.09368299136643263,0.09368299136643263,-12.774598351691214,-12.774598351691214,-12.774598351691214,0.0,0.0,0.0,19.86661599264361
2010-01-06,32.54582826621049,16.533048515782465,23.352424698929173,32.54582826621049,32.54582826621049,-12.76837049914183,-12.76837049914183,-12.76837049914183,0.040456990856993176,0.040456990856993176,0.040456990856993176,-12.808827489998823,-12.808827489998823,-12.808827489998823,0.0,0.0,0.0,19.77745776706866
2010-01-07,32.544125179452585,16.387937453714603,23.3214184763641,32.544125179452585,32.544125179452585,-12.801414957413831,-12.801414957413831,-12.801414957413831,0.027901256400050943,0.027901256400050943,0.027901256400050943,-12.829316213813884,-12.829316213813884,-12.829316213813884,0.0,0.0,0.0,19.742710222038752
2010-01-08,32.54242209269468,16.275422813055826,22.996132396040178,32.54242209269468,32.54242209269468,-12.891212244269072,-12.891212244269072,-12.891212244269072,-0.05489747712211077,-0.05489747712211077,-0.05489747712211077,-12.836314767146963,-12.836314767146963,-12.836314767146963,0.0,0.0,0.0,19.65120984842561
2010-01-09,32.54071900593678,16.135329487814662,23.102319148272485,32.54071900593678,32.54071900593678,-12.928223265497353,-12.928223265497353,-12.928223265497353,-0.0981414149357731,-0.0981414149357731,-0.0981414149357731,-12.830081850561577,-12.830081850561577,-12.830081850561577,0.0,0.0,0.0,19.612495740439428
2010-01-10,32.53901591917887,16.38059934991466,23.05307076145863,32.53901591917887,32.53901591917887,-12.846349441584154,-12.846349441584154,-12.846349441584154,-0.035471556677145896,-0.035471556677145896,-0.035471556677145896,-12.810877884907008,-12.810877884907008,-12.810877884907008,0.0,0.0,0.0,19.69266647759472
2010-01-11,32.53731283242097,16.617359571898106,23.163710162259385,32.53731283242097,32.53731283242097,-12.752490608000267,-12.752490608000267,-12.752490608000267,0.026469210111573205,0.026469210111573205,0.026469210111573205,-12.778959818111842,-12.778959818111842,-12.778959818111842,0.0,0.0,0.0,19.784822224420708
2010-01-12,32.53560974566307,16.638528316405992,23.225855723668456,32.53560974566307,32.53560974566307,-12.64089458996394,-12.64089458996394,-12.64089458996394,0.09368299136643726,0.09368299136643726,0.09368299136643726,-12.73457758133038,-12.73457758133038,-12.73457758133038,0.0,0.0,0.0,19.89471515569913
2010-01-13,32.53390665890517,16.26710042972162,23.19718062904506,32.53390665890517,32.53390665890517,-12.637515253982142,-12.637515253982142,-12.637515253982142,0.04045699085698329,0.04045699085698329,0.04045699085698329,-12.677972244839125,-12.677972244839125,-12.677972244839125,0.0,0.0,0.0,19.896391404923023
2010-01-14,32.53220357214727,16.40307495602681,23.428087071312813,32.53220357214727,32.53220357214727,-12.58147461102104,-12.58147461102104,-12.58147461102104,0.027901256399988295,0.027901256399988295,0.027901256399988295,-12.60937586742103,-12.60937586742103,-12.60937586742103,0.0,0.0,0.0,19.950728961126227
2010-01-15,32.53050048538937,16.640452456205512,23.536876559351064,32.53050048538937,32.53050048538937,-12.583910454236003,-12.583910454236003,-12.583910454236003,-0.05489747712213416,-0.05489747712213416,-0.05489747712213416,-12.529012977113869,-12.529012977113869,-12.529012977113869,0.0,0.0,0.0,19.946590031153363
2010-01-16,32.52879739863146,16.471462543791464,23.35649585001813,32.52879739863146,32.52879739863146,-12.535244982678499,-12.535244982678499,-12.535244982678499,-0.0981414149356758,-0.0981414149356758,-0.0981414149356758,-12.437103567742824,-12.437103567742824,-12.437103567742824,0.0,0.0,0.0,19.993552415952962
2010-01-17,32.527094311873554,16.63225554322164,23.553461833634703,32.527094311873554,32.527094311873554,-12.369339002737126,-12.369339002737126,-12.369339002737126,-0.035471556677339186,-0.035471556677339186,-0.035471556677339186,-12.333867446059788,-12.333867446059788,-12.333867446059788,0.0,0.0,0.0,20.157755309136427
2010-01-18,32.525391225115655,16.77994696493796,23.641826952798176,32.525391225115655,32.525391225115655,-12.193060509883638,-12.193060509883638,-12.193060509883638,0.026469210111611508,0.026469210111611508,0.026469210111611508,-12.219529719995247,-12.219529719995247,-12.219529719995247,0.0,0.0,0.0,20.33233071523202
2010-01-19,32.52368813835775,17.161621159149142,23.84552147371764,32.52368813835775,32.52368813835775,-12.000644189329003,-12.000644189329003,-12.000644189329003,0.09368299136643443,0.09368299136643443,0.09368299136643443,-12.094327180695439,-12.094327180695439,-12.094327180695439,0.0,0.0,0.0,20.523043949028747
2010-01-20,32.52198505159985,17.083795508532408,23.91066650367137,32.52198505159985,32.52198505159985,-11.918058309862513,-11.918058309862513,-11.918058309862513,0.040456990857088634,0.040456990857088634,0.040456990857088634,-11.958515300719602,-11.958515300719602,-11.958515300719602,0.0,0.0,0.0,20.603926741737336
2010-01-21,32.52028196484194,17.294431719420587,24.41911642701544,32.52028196484194,32.52028196484194,-11.78447429247284,-11.78447429247284,-11.78447429247284,0.027901256399925644,0.027901256399925644,0.027901256399925644,-11.812375548872765,-11.812375548872765,-11.812375548872765,0.0,0.0,0.0,20.735807672369102
2010-01-22,32.51857887808404,17.264160658621453,24.39563048331996,32.51857887808404,32.51857887808404,-11.711120186337851,-11.711120186337851,-11.711120186337851,-0.05489747712214036,-0.05489747712214036,-0.05489747712214036,-11.656222709215712,-11.656222709215712,-11.656222709215712,0.0,0.0,0.0,20.80745869174619
2010-01-23,32.51687579132614,17.458320375434827,24.01334027536668,32.51687579132614,32.51687579132614,-11.588553303144463,-11.588553303144463,-11.588553303144463,-0.09814141493583023,-0.09814141493583023,-0.09814141493583023,-11.490411888208634,-11.490411888208634,-11.490411888208634,0.0,0.0,0.0,20.928322488181678
2010-01-24,32.515172704568236,17.71065641987023,24.328870397035416,32.515172704568236,32.515172704568236,-11.350816456478025,-11.350816456478025,-11.350816456478025,-0.03547155667714738,-0.03547155667714738,-0.03547155667714738,-11.315344899800879,-11.315344899800879,-11.315344899800879,0.0,0.0,0.0,21.16435624809021
2010-01-25,32.51346961781034,18.061722152976884,24.738938167366996,32.51346961781034,32.51346961781034,-11.105006523290514,-11.105006523290514,-11.105006523290514,0.026469210111649797,0.026469210111649797,0.026469210111649797,-11.131475733402164,-11.131475733402164,-11.131475733402164,0.0,0.0,0.0,21.408463094519824
2010-01-26,32.51176653105243,18.384344319182393,25.02719533076226,32.51176653105243,32.51176653105243,-10.845631842298566,-10.845631842298566,-10.845631842298566,0.09368299136643433,0.09368299136643433,0.09368299136643433,-10.939314833665,-10.939314833665,-10.939314833665,0.0,0.0,0.0,21.666134688753864
2010-01-27,32.51006344429452,18.353906422536593,25.361569053038888,32.51006344429452,32.51006344429452,-10.69897496233468,-10.69897496233468,-10.69897496233468,0.04045699085708579,0.04045699085708579,0.04045699085708579,-10.739431953191765,-10.739431953191765,-10.739431953191765,0.0,0.0,0.0,21.811088481959843
2010-01-28,32.508360357536624,18.42551364748868,25.327760526151035,32.508360357536624,32.508360357536624,-10.504556122389593,-10.504556122389593,-10.504556122389593,0.02790125640007291,0.02790125640007291,0.02790125640007291,-10.532457378789664,-10.532457378789664,-10.532457378789664,0.0,0.0,0.0,22.00380423514703
2010-01-29,32.506657270778724,18.496011604011944,25.560141648144146,32.506657270778724,32.506657270778724,-10.373978854763761,-10.373978854763761,-10.373978854763761,-0.05489747712216373,-0.05489747712216373,-0.05489747712216373,-10.319081377641599,-10.319081377641599,-10.319081377641599,0.0,0.0,0.0,22.13267841601496
2010-01-30,32.50495418402082,19.08111616036522,25.754643731429578,32.50495418402082,32.50495418402082,-10.198193175402004,-10.198193175402004,-10.198193175402004,-0.09814141493572917,-0.09814141493572917,-0.09814141493572917,-10.100051760466275,-10.100051760466275,-10.100051760466275,0.0,0.0,0.0,22.306761008618814
2010-01-31,32.50325109726292,18.900433062488897,25.838944182458537,32.50325109726292,32.50325109726292,-9.911641069742792,-9.911641069742792,-9.911641069742792,-0.03547155667716287,-0.03547155667716287,-0.03547155667716287,-9.876169513065628,-9.876169513065628,-9.876169513065628,0.0,0.0,0.0,22.591610027520126
