ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-01-01,31.618997999999998,27.603766001310177,31.66819082235142,31.618997999999998,31.618997999999998,-2.145113186470868,-2.145113186470868,-2.145113186470868,-0.02012314147086387,-0.02012314147086387,-0.02012314147086387,-2.124990045000004,-2.124990045000004,-2.124990045000004,0.0,0.0,0.0,29.47388481352913
2010-01-02,31.612547535611718,27.369752988993703,31.5821156147095,31.612547535611718,31.612547535611718,-2.122355962692668,-2.122355962692668,-2.122355962692668,-0.028796676703106185,-0.028796676703106185,-0.028796676703106185,-2.0935592859895613,-2.0935592859895613,-2.0935592859895613,0.0,0.0,0.0,29.49019157291905
2010-01-03,31.606097071223434,27.43567734871676,31.706974459833205,31.606097071223434,31.606097071223434,-2.04103934090545,-2.04103934090545,-2.04103934090545,0.02526832459919474,0.02526832459919474,0.02526832459919474,-2.066307665504645,-2.066307665504645,-2.066307665504645,0.0,0.0,0.0,29.565057730317985
2010-01-04,31.59964660683515,27.45240540035202,31.863055292385994,31.59964660683515,31.59964660683515,-2.0701750952368005,-2.0701750952368005,-2.0701750952368005,-0.027049524258799206,-0.027049524258799206,-0.027049524258799206,-2.043125570978001,-2.043125570978001,-2.043125570978001,0.0,0.0,0.0,29.529471511598352
2010-01-05,31.59319614244687,27.651415900047947,31.837621068064575,31.59319614244687,31.59319614244687,-1.9813471354403978,-1.9813471354403978,-1.9813471354403978,0.04243290290723233,0.04243290290723233,0.04243290290723233,-2.0237800383476303,-2.0237800383476303,-2.0237800383476303,0.0,0.0,0.0,29.611849007006473
2010-01-06,31.586745678058584,27.495589243297974,31.655892111193946,31.586745678058584,31.586745678058584,-2.009169030136768,-2.009169030136768,-2.009169030136768,-0.0012502914633986,-0.0012502914633986,-0.0012502914633986,-2.0079187386733697,-2.0079187386733697,-2.0079187386733697,0.0,0.0,0.0,29.577576647921816
2010-01-07,31.5802952136703,27.507238935441094,31.648918028860322,31.5802952136703,31.5802952136703,-1.9855583808596282,-1.9855583808596282,-1.9855583808596282,0.009518406389982123,0.009518406389982123,0.009518406389982123,-1.9950767872496105,-1.9950767872496105,-1.9950767872496105,0.0,0.0,0.0,29.59473683281067
2010-01-08,31.57384474928202,27.49645757400089,31.699718101632158,31.57384474928202,31.57384474928202,-2.004809363106163,-2.004809363106163,-2.004809363106163,-0.02012314147103701,-0.02012314147103701,-0.02012314147103701,-1.9846862216351262,-1.9846862216351262,-1.9846862216351262,0.0,0.0,0.0,29.56903538617586
2010-01-09,31.567394284893737,27.372159170469537,31.691995845571626,31.567394284893737,31.567394284893737,-2.004884605268612,-2.004884605268612,-2.004884605268612,-0.028796676703135834,-0.028796676703135834,-0.028796676703135834,-1.9760879285654758,-1.9760879285654758,-1.9760879285654758,0.0,0.0,0.0,29.562509679625126
2010-01-10,31.560943820505454,27.41020253748299,31.772691424330112,31.560943820505454,31.560943820505454,-1.9432774143537133,-1.9432774143537133,-1.9432774143537133,0.025268324599226958,0.025268324599226958,0.025268324599226958,-1.9685457389529404,-1.9685457389529404,-1.9685457389529404,0.0,0.0,0.0,29.61766640615174
