ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-01-01,32.566507200000004,16.58951428074541,23.583172907549155,32.566507200000004,32.566507200000004,-12.564653578459831,-12.564653578459831,-12.564653578459831,-0.05557081336991938,-0.05557081336991938,-0.05557081336991938,-12.509082765089913,-12.509082765089913,-12.509082765089913,0.0,0.0,0.0,20.00185362154017
2010-01-02,32.56447338884623,16.32756019638795,23.075089190290935,32.56447338884623,32.56447338884623,-12.693491467021067,-12.693491467021067,-12.693491467021067,-0.09655356392979315,-0.09655356392979315,-0.09655356392979315,-12.596937903091275,-12.596937903091275,-12.596937903091275,0.0,0.0,0.0,19.870981921825162
2010-01-03,32.56243957769246,16.612688763076903,23.095812554630967,32.56243957769246,32.56243957769246,-12.708922837430107,-12.708922837430107,-12.708922837430107,-0.03844311641389806,-0.03844311641389806,-0.03844311641389806,-12.670479721016209,-12.670479721016209,-12.670479721016209,0.0,0.0,0.0,19.85351674026235
2010-01-04,32.560405766538686,16.548101538545307,23.56146493332349,32.560405766538686,32.560405766538686,-12.708986882302948,-12.708986882302948,-12.708986882302948,0.02088259281601122,0.02088259281601122,0.02088259281601122,-12.729869475118962,-12.729869475118962,-12.729869475118962,0.0,0.0,0.0,19.851418884235738
2010-01-05,32.558371955384914,16.448005180116258,23.35514539943191,32.558371955384914,32.558371955384914,-12.681979566967534,-12.681979566967534,-12.681979566967534,0.0933312814188612,0.0933312814188612,0.0933312814188612,-12.775310848386395,-12.775310848386395,-12.775310848386395,0.0,0.0,0.0,19.87639238841738
2010-01-06,32.55633814423114,16.372367150240876,23.230923565411523,32.55633814423114,32.55633814423114,-12.758078495010249,-12.758078495010249,-12.758078495010249,0.04895989107884576,0.04895989107884576,0.04895989107884576,-12.807038386089092,-12.807038386089092,-12.807038386089092,0.0,0.0,0.0,19.798259649220892
2010-01-07,32.55430433307737,16.270911086320403,23.19897452543965,32.55430433307737,32.55430433307737,-12.797912943144716,-12.797912943144716,-12.797912943144716,0.027393728400063697,0.027393728400063697,0.027393728400063697,-12.82530667154478,-12.82530667154478,-12.82530667154478,0.0,0.0,0.0,19.756391389932652
2010-01-08,32.552270521923596,15.933595357217033,23.013408638939726,32.552270521923596,32.552270521923596,-12.885951364350854,-12.885951364350854,-12.885951364350854,-0.05557081337005963,-0.05557081337005963,-0.05557081337005963,-12.830380550980795,-12.830380550980795,-12.830380550980795,0.0,0.0,0.0,19.666319157572744
2010-01-09,32.55023671076982,16.005782982273015,22.984742454611148,32.55023671076982,32.55023671076982,-12.91908023971668,-12.91908023971668,-12.91908023971668,-0.09655356392982031,-0.09655356392982031,-0.09655356392982031,-12.822526675786863,-12.822526675786863,-12.822526675786863,0.0,0.0,0.0,19.631156471053146
2010-01-10,32.54820289961605,16.287219919973833,23.18686237077145,32.54820289961605,32.54820289961605,-12.840449699192925,-12.840449699192925,-12.840449699192925,-0.03844311641381806,-0.03844311641381806,-0.03844311641381806,-12.802006582779107,-12.802006582779107,-12.802006582779107,0.0,0.0,0.0,19.707753200423127
2010-01-11,32.54616908846228,16.406269897626974,23.40035349190966,32.54616908846228,32.54616908846228,-12.74818888690532,-12.74818888690532,-12.74818888690532,0.020882592815956943,0.020882592815956943,0.020882592815956943,-12.769071479721276,-12.769071479721276,-12.769071479721276,0.0,0.0,0.0,19.79798020155696
2010-01-12,32.544135277308506,16.537478485851846,23.551046184591677,32.544135277308506,32.544135277308506,-12.630627564383714,-12.630627564383714,-12.630627564383714,0.09333128141884711,0.09333128141884711,0.09333128141884711,-12.723958845802562,-12.723958845802562,-12.723958845802562,0.0,0.0,0.0,19.91350771292479
2010-01-13,32.54210146615473,16.320619203507032,23.442743451169488,32.54210146615473,32.54210146615473,-12.617931005588858,-12.617931005588858,-12.617931005588858,0.04895989107883467,0.04895989107883467,0.04895989107883467,-12.666890896667693,-12.666890896667693,-12.666890896667693,0.0,0.0,0.0,19.924170460565875
2010-01-14,32.54006765500096,16.585991336244913,23.37856800543208,32.54006765500096,32.54006765500096,-12.570681174257066,-12.570681174257066,-12.570681174257066,0.027393728399997194,0.027393728399997194,0.027393728399997194,-12.598074902657064,-12.598074902657064,-12.598074902657064,0.0,0.0,0.0,19.969386480743893
2010-01-15,32.53803384384719,16.284103344623063,23.406411438264296,32.53803384384719,32.53803384384719,-12.573276102188158,-12.573276102188158,-12.573276102188158,-0.05557081337008333,-0.05557081337008333,-0.05557081337008333,-12.517705288818075,-12.517705288818075,-12.517705288818075,0.0,0.0,0.0,19.964757741659028
2010-01-16,32.53600003269342,16.682067916158758,23.461658059160033,32.53600003269342,32.53600003269342,-12.522520951647248,-12.522520951647248,-12.522520951647248,-0.09655356392973151,-0.09655356392973151,-0.09655356392973151,-12.425967387717517,-12.425967387717517,-12.425967387717517,0.0,0.0,0.0,20.013479081046174
2010-01-17,32.53396622153964,16.99654660344298,23.442048880525125,32.53396622153964,32.53396622153964,-12.361485779098578,-12.361485779098578,-12.361485779098578,-0.03844311641399281,-0.03844311641399281,-0.03844311641399281,-12.323042662684585,-12.323042662684585,-12.323042662684585,0.0,0.0,0.0,20.172480442441064
2010-01-18,32.53193241038587,17.06269589296077,23.626341325548747,32.53193241038587,32.53193241038587,-12.188232578559944,-12.188232578559944,-12.188232578559944,0.020882592815998642,0.020882592815998642,0.020882592815998642,-12.209115171375943,-12.209115171375943,-12.209115171375943,0.0,0.0,0.0,20.343699831825926
2010-01-19,32.5298985992321,17.105618928497936,24.055258435969304,32.5298985992321,32.5298985992321,-11.99104771736171,-11.99104771736171,-11.99104771736171,0.09333128141885527,0.09333128141885527,0.09333128141885527,-12.084378998780565,-12.084378998780565,-12.084378998780565,0.0,0.0,0.0,20.53885088187039
