ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-01-01,33.245364,17.75379774465615,24.595264500755444,33.245364,33.245364,-11.819037586958363,-11.819037586958363,-11.819037586958363,-0.08626229595846249,-0.08626229595846249,-0.08626229595846249,-11.7327752909999,-11.7327752909999,-11.7327752909999,0.0,0.0,0.0,21.42632641304164
2010-01-02,33.24305791264012,18.113684189669296,24.809766653047735,33.24305791264012,33.24305791264012,-11.747982854890665,-11.747982854890665,-11.747982854890665,0.07981680579748655,0.07981680579748655,0.07981680579748655,-11.82779966068815,-11.82779966068815,-11.82779966068815,0.0,0.0,0.0,21.495075057749453
2010-01-03,33.24075182528025,18.02738203962962,24.76411198643978,33.24075182528025,33.24075182528025,-11.873953498157443,-11.873953498157443,-11.873953498157443,0.03259016179228326,0.03259016179228326,0.03259016179228326,-11.906543659949724,-11.906543659949724,-11.906543659949724,0.0,0.0,0.0,21.366798327122808
2010-01-04,33.23844573792037,17.85467830278678,24.59497273914318,33.23844573792037,33.23844573792037,-11.914022589801695,-11.914022589801695,-11.914022589801695,0.05470157107423579,0.05470157107423579,0.05470157107423579,-11.96872416087593,-11.96872416087593,-11.96872416087593,0.0,0.0,0.0,21.324423148118676
2010-01-05,33.236139650560496,17.88622443496466,24.823507768968522,33.236139650560496,33.236139650560496,-11.978974991473134,-11.978974991473134,-11.978974991473134,0.035241129503896164,0.035241129503896164,0.035241129503896164,-12.01421612097703,-12.01421612097703,-12.01421612097703,0.0,0.0,0.0,21.257164659087362
2010-01-06,33.23383356320062,17.812659002942837,24.81635549747014,33.23383356320062,33.23383356320062,-12.079186895178276,-12.079186895178276,-12.079186895178276,-0.03613683520960558,-0.03613683520960558,-0.03613683520960558,-12.043050059968671,-12.043050059968671,-12.043050059968671,0.0,0.0,0.0,21.154646668022345
2010-01-07,33.231527475840736,17.661687543207805,24.495292836342433,33.231527475840736,33.231527475840736,-12.135356627763457,-12.135356627763457,-12.135356627763457,-0.07995053699990748,-0.07995053699990748,-0.07995053699990748,-12.055406090763551,-12.055406090763551,-12.055406090763551,0.0,0.0,0.0,21.09617084807728
2010-01-08,33.229221388480866,17.50338158947893,24.372923304986955,33.229221388480866,33.229221388480866,-12.137866998381202,-12.137866998381202,-12.137866998381202,-0.08626229595832739,-0.08626229595832739,-0.08626229595832739,-12.051604702422875,-12.051604702422875,-12.051604702422875,0.0,0.0,0.0,21.091354390099664
2010-01-09,33.22691530112099,17.8249644868681,24.915957867852565,33.22691530112099,33.22691530112099,-11.952277779770771,-11.952277779770771,-11.952277779770771,0.07981680579752783,0.07981680579752783,0.07981680579752783,-12.032094585568299,-12.032094585568299,-12.032094585568299,0.0,0.0,0.0,21.27463752135022
2010-01-10,33.22460921376111,17.991292072686935,24.750706751125286,33.22460921376111,33.22460921376111,-11.964847713129984,-11.964847713129984,-11.964847713129984,0.03259016179229332,0.03259016179229332,0.03259016179229332,-11.997437874922278,-11.997437874922278,-11.997437874922278,0.0,0.0,0.0,21.25976150063113
2010-01-11,33.222303126401236,17.887195647479377,24.715459697603833,33.222303126401236,33.222303126401236,-11.893591685544346,-11.893591685544346,-11.893591685544346,0.054701571074397166,0.054701571074397166,0.054701571074397166,-11.948293256618744,-11.948293256618744,-11.948293256618744,0.0,0.0,0.0,21.328711440856893
2010-01-12,33.21999703904136,17.657576525615053,24.881518576468366,33.21999703904136,33.21999703904136,-11.850156317945642,-11.850156317945642,-11.850156317945642,0.035241129504209434,0.035241129504209434,0.035241129504209434,-11.88539744744985,-11.88539744744985,-11.88539744744985,0.0,0.0,0.0,21.36984072109572
2010-01-13,33.21769095168148,18.019108763173453,24.6893600109529,33.21769095168148,33.21769095168148,-11.845682432598666,-11.845682432598666,-11.845682432598666,-0.03613683520972817,-0.03613683520972817,-0.03613683520972817,-11.80954559738894,-11.80954559738894,-11.80954559738894,0.0,0.0,0.0,21.37200851908282
2010-01-14,33.21538486432161,17.99747741907961,24.721690747617618,33.21538486432161,33.21538486432161,-11.801521731187094,-11.801521731187094,-11.801521731187094,-0.07995053699989071,-0.07995053699989071,-0.07995053699989071,-11.721571194187204,-11.721571194187204,-11.721571194187204,0.0,0.0,0.0,21.413863133134512
2010-01-15,33.21307877696173,17.76422464155125,25.15647446453512,33.21307877696173,33.21307877696173,-11.708588354597568,-11.708588354597568,-11.708588354597568,-0.08626229595826414,-0.08626229595826414,-0.08626229595826414,-11.622326058639302,-11.622326058639302,-11.622326058639302,0.0,0.0,0.0,21.504490422364164
2010-01-16,33.21077268960185,18.259111006227762,25.118901716260513,33.21077268960185,33.21077268960185,-11.43284420513152,-11.43284420513152,-11.43284420513152,0.0798168057976021,0.0798168057976021,0.0798168057976021,-11.512661010929122,-11.512661010929122,-11.512661010929122,0.0,0.0,0.0,21.777928484470333
2010-01-17,33.208466602241984,18.68374663261137,25.247975823093178,33.208466602241984,33.208466602241984,-11.360817600670384,-11.360817600670384,-11.360817600670384,0.032590161792226666,0.032590161792226666,0.032590161792226666,-11.393407762462612,-11.393407762462612,-11.393407762462612,0.0,0.0,0.0,21.8476490015716
2010-01-18,33.2061605148821,18.561436762636383,25.45469238846246,33.2061605148821,33.2061605148821,-11.210660973463611,-11.210660973463611,-11.210660973463611,0.054701571074348476,0.054701571074348476,0.054701571074348476,-11.26536254453796,-11.26536254453796,-11.26536254453796,0.0,0.0,0.0,21.99549954141849
2010-01-19,33.203854427522224,18.651599877229213,25.64195939514936,33.203854427522224,33.203854427522224,-11.094030796852806,-11.094030796852806,-11.094030796852806,0.03524112950401375,0.03524112950401375,0.03524112950401375,-11.12927192635682,-11.12927192635682,-11.12927192635682,0.0,0.0,0.0,22.109823630669418
2010-01-20,33.201548340162354,18.6948612760307,25.700057998841217,33.201548340162354,33.201548340162354,-11.021958037205279,-11.021958037205279,-11.021958037205279,-0.036136835209872584,-0.036136835209872584,-0.036136835209872584,-10.985821201995407,-10.985821201995407,-10.985821201995407,0.0,0.0,0.0,22.179590302957074
