,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover
0,2010-01-01,1262284200,16.1,4.8,12.5,16.1,2.1,12.2,9.5,83.0,0.0,0.0,0.0
1,2010-01-02,1262370600,19.2,8.1,11.5,19.2,7.6,11.4,9.2,87.6,0.0,0.0,0.0
2,2010-01-03,1262457000,15.1,9.9,12.0,15.1,8.3,11.9,8.1,77.7,0.0,0.0,0.0
3,2010-01-04,1262543400,16.1,10.0,12.6,16.1,7.9,12.5,9.9,84.4,0.0,0.0,0.0
4,2010-01-05,1262629800,13.8,8.0,12.4,13.8,5.2,12.3,9.1,80.7,0.0,0.0,0.0
5,2010-01-06,1262716200,19.1,5.1,13.6,19.1,3.0,13.5,9.3,77.1,0.0,0.0,0.0
6,2010-01-07,1262802600,21.1,5.1,13.0,21.1,5.1,13.0,8.3,75.4,0.0,0.0,0.0
7,2010-01-08,1262889000,20.1,7.1,13.6,20.1,7.1,13.6,9.5,78.0,0.0,0.0,0.0
8,2010-01-09,1262975400,20.7,9.0,12.1,20.7,7.8,12.0,8.9,84.6,0.0,0.0,0.0
9,2010-01-10,1263061800,19.6,9.1,11.0,19.6,8.6,10.9,8.3,85.1,0.3,100.0,4.17
10,2010-01-11,1263148200,19.9,8.1,10.4,19.9,6.1,9.9,7.0,81.6,0.0,0.0,0.0
11,2010-01-12,1263234600,15.1,7.1,10.2,15.1,6.8,9.8,6.5,78.9,0.0,0.0,0.0
12,2010-01-13,1263321000,15.1,9.1,11.7,15.1,7.3,11.2,9.4,86.6,2.0,100.0,4.17
13,2010-01-14,1263407400,19.6,7.2,13.3,19.6,6.1,13.3,10.4,84.0,0.0,0.0,0.0
14,2010-01-15,1263493800,21.2,7.7,12.0,21.2,5.8,11.8,9.9,88.3,0.0,0.0,0.0
15,2010-01-16,1263580200,22.1,9.4,13.1,22.1,8.6,13.0,8.0,76.7,0.0,0.0,0.0
16,2010-01-17,1263666600,21.0,9.2,12.6,21.0,8.5,12.6,8.0,76.0,0.0,0.0,0.0
17,2010-01-18,1263753000,16.1,10.1,12.3,16.1,10.1,12.3,8.7,79.0,0.0,0.0,0.0
18,2010-01-19,1263839400,22.5,6.3,11.9,22.5,4.2,11.6,7.2,75.4,0.0,0.0,0.0
19,2010-01-20,1263925800,17.1,6.3,11.9,17.1,3.9,11.6,6.9,74.1,0.0,0.0,0.0
20,2010-01-21,1264012200,18.1,8.8,12.1,18.1,6.8,12.0,8.4,80.3,0.0,0.0,0.0
21,2010-01-22,1264098600,22.9,5.1,11.6,22.9,5.1,11.5,5.9,75.2,0.0,0.0,0.0
22,2010-01-23,1264185000,23.0,7.1,13.1,23.0,7.1,13.1,5.5,66.2,0.0,0.0,0.0
23,2010-01-24,1264271400,24.2,9.1,12.4,24.2,8.6,12.3,8.3,81.0,0.0,0.0,0.0
24,2010-01-25,1264357800,18.1,9.1,12.0,18.1,8.6,12.0,9.3,85.2,0.0,0.0,0.0
25,2010-01-26,1264444200,24.6,7.1,14.4,24.6,6.4,14.3,7.8,70.6,0.0,0.0,0.0
26,2010-01-27,1264530600,25.1,9.3,16.1,25.1,8.1,16.0,9.2,66.9,0.0,0.0,0.0
27,2010-01-28,1264617000,26.1,8.1,16.9,26.1,8.1,16.9,8.4,61.8,0.0,0.0,0.0
28,2010-01-29,1264703400,27.1,9.1,17.5,26.5,9.1,17.4,9.5,64.5,0.0,0.0,0.0
29,2010-01-30,1264789800,27.1,10.4,19.0,27.0,10.4,19.0,11.1,62.7,0.0,0.0,0.0
30,2010-01-31,1264876200,25.1,9.4,16.7,25.1,8.4,16.7,8.3,60.5,0.0,0.0,0.0
31,2010-02-01,1264962600,23.1,10.1,16.6,23.1,10.1,16.6,9.2,64.3,0.0,0.0,0.0
32,2010-02-02,1265049000,25.1,10.1,17.0,25.1,10.1,17.0,8.2,60.2,0.0,0.0,0.0
33,2010-02-03,1265135400,25.1,8.4,16.3,25.1,6.8,16.3,8.0,61.7,0.0,0.0,0.0
34,2010-02-04,1265221800,24.1,8.4,16.5,24.1,6.9,16.5,7.2,57.5,0.0,0.0,0.0
35,2010-02-05,1265308200,25.1,8.7,17.7,25.1,7.0,17.6,9.4,60.9,0.0,0.0,0.0
36,2010-02-06,1265394600,27.4,12.1,18.9,26.4,12.1,18.9,10.6,62.5,0.0,0.0,0.0
37,2010-02-07,1265481000,28.1,11.1,18.9,27.5,11.1,18.8,11.7,66.2,0.0,0.0,0.0
38,2010-02-08,1265567400,28.1,13.1,19.8,28.1,13.1,19.8,12.5,65.7,0.0,0.0,0.0
39,2010-02-09,1265653800,23.2,15.2,18.8,23.2,15.2,18.8,15.9,83.8,6.8,100.0,8.33
40,2010-02-10,1265740200,25.1,14.9,18.8,25.1,14.9,18.8,15.1,80.5,0.8,100.0,4.17
41,2010-02-11,1265826600,26.8,13.2,19.8,26.4,13.2,19.8,14.0,72.0,1.0,100.0,4.17
42,2010-02-12,1265913000,19.4,14.1,17.5,19.4,14.1,17.5,15.4,87.8,11.0,100.0,8.33
43,2010-02-13,1265999400,24.8,11.6,15.8,24.8,11.6,15.8,13.6,88.9,0.0,0.0,0.0
44,2010-02-14,1266085800,24.1,10.7,18.1,24.1,10.7,18.1,14.3,80.6,0.0,0.0,0.0
45,2010-02-15,1266172200,27.1,11.3,18.6,26.7,11.3,18.5,11.0,64.5,0.0,0.0,0.0
46,2010-02-16,1266258600,28.0,14.1,19.3,27.0,14.1,19.2,12.2,68.1,0.0,0.0,0.0
47,2010-02-17,1266345000,27.6,13.1,19.7,26.7,13.1,19.6,10.9,61.0,0.0,0.0,0.0
48,2010-02-18,1266431400,25.9,9.4,17.5,25.9,7.5,17.5,8.5,59.4,0.0,0.0,0.0
49,2010-02-19,1266517800,25.3,9.1,17.7,25.3,7.3,17.6,6.5,51.5,0.0,0.0,0.0
50,2010-02-20,1266604200,27.1,9.1,18.0,26.0,8.6,17.9,8.2,57.3,0.0,0.0,0.0
51,2010-02-21,1266690600,29.1,9.9,19.1,27.4,8.2,18.9,9.1,56.6,0.0,0.0,0.0
52,2010-02-22,1266777000,30.0,12.1,20.0,28.1,12.1,19.8,10.3,58.7,0.0,0.0,0.0
53,2010-02-23,1266863400,28.8,16.1,20.6,27.9,16.1,20.6,14.7,71.2,0.8,100.0,4.17
54,2010-02-24,1266949800,28.6,14.1,21.3,27.7,14.1,21.2,13.5,65.0,0.0,0.0,0.0
55,2010-02-25,1267036200,29.0,14.9,21.4,27.9,14.9,21.3,13.6,64.5,0.0,0.0,0.0
56,2010-02-26,1267122600,30.1,13.3,22.2,28.4,13.3,21.9,12.4,57.4,0.0,0.0,0.0
57,2010-02-27,1267209000,31.1,15.1,22.9,29.9,15.1,22.6,12.5,54.9,0.0,0.0,0.0
58,2010-02-28,1267295400,32.1,17.1,24.1,31.1,17.1,23.7,13.0,53.7,0.0,0.0,0.0
