,datetime,datetimeEpoch,tempmax,humidity,windspeed,cloudcover,description
0,2010-01-01,1262284200,20.8,76.7,12.2,0.6,Clear conditions throughout the day.
1,2010-01-02,1262370600,15.0,95.5,11.2,24.8,Partly cloudy throughout the day.
2,2010-01-03,1262457000,15.1,90.6,14.8,56.8,Partly cloudy throughout the day with afternoon rain.
3,2010-01-04,1262543400,13.2,89.7,23.3,81.3,Partly cloudy throughout the day.
4,2010-01-05,1262629800,17.0,85.6,21.0,8.8,Clear conditions throughout the day.
5,2010-01-06,1262716200,18.2,83.4,11.0,0.0,Clear conditions throughout the day.
6,2010-01-07,1262802600,20.8,86.5,9.4,0.0,Clear conditions throughout the day.
7,2010-01-08,1262889000,12.2,97.6,11.2,0.0,Clear conditions throughout the day.
8,2010-01-09,1262975400,20.4,82.9,14.8,7.6,Clear conditions throughout the day.
9,2010-01-10,1263061800,10.9,96.1,11.2,15.4,Clear conditions throughout the day.
10,2010-01-11,1263148200,13.9,84.1,10.4,15.3,Clear conditions throughout the day.
11,2010-01-12,1263234600,14.0,82.4,10.5,7.8,Clear conditions throughout the day with late afternoon rain.
12,2010-01-13,1263321000,16.0,86.0,10.4,65.4,Partly cloudy throughout the day with morning rain.
13,2010-01-14,1263407400,15.4,91.7,14.0,6.2,Clear conditions throughout the day.
14,2010-01-15,1263493800,16.0,87.7,15.8,48.4,Partly cloudy throughout the day.
15,2010-01-16,1263580200,20.1,79.6,16.6,15.2,Clear conditions throughout the day.
16,2010-01-17,1263666600,16.0,94.3,9.4,30.0,Clearing in the afternoon.
17,2010-01-18,1263753000,18.2,82.2,13.0,12.4,Clear conditions throughout the day.
18,2010-01-19,1263839400,19.0,82.0,9.4,4.9,Clear conditions throughout the day.
19,2010-01-20,1263925800,19.1,87.5,7.6,14.6,Clear conditions throughout the day.
20,2010-01-21,1264012200,24.0,85.1,9.4,2.0,Clear conditions throughout the day.
21,2010-01-22,1264098600,19.0,85.5,7.6,42.6,Partly cloudy throughout the day.
22,2010-01-23,1264185000,21.4,80.4,12.2,0.0,Clear conditions throughout the day.
23,2010-01-24,1264271400,24.4,78.1,15.6,18.2,Clear conditions throughout the day.
24,2010-01-25,1264357800,23.9,74.2,12.0,4.7,Clear conditions throughout the day.
25,2010-01-26,1264444200,21.3,84.5,9.4,1.2,Clear conditions throughout the day.
26,2010-01-27,1264530600,23.2,81.1,11.2,18.5,Clear conditions throughout the day.
27,2010-01-28,1264617000,25.9,67.1,13.0,42.5,Partly cloudy throughout the day.
28,2010-01-29,1264703400,27.2,65.3,17.4,8.9,Clear conditions throughout the day.
29,2010-01-30,1264789800,22.0,70.9,22.3,6.2,Clear conditions throughout the day.
30,2010-01-31,1264876200,22.0,61.3,14.0,23.4,Partly cloudy throughout the day.
31,2010-02-01,1264962600,23.1,62.9,11.2,19.5,Clear conditions throughout the day.
32,2010-02-02,1265049000,22.5,65.9,15.6,3.9,Clear conditions throughout the day.
33,2010-02-03,1265135400,22.5,62.0,20.2,0.8,Clear conditions throughout the day.
34,2010-02-04,1265221800,23.7,56.1,19.6,5.6,Clear conditions throughout the day.
35,2010-02-05,1265308200,24.7,62.0,18.4,11.4,Clear conditions throughout the day.
36,2010-02-06,1265394600,28.0,57.8,14.0,13.2,Clear conditions throughout the day.
37,2010-02-07,1265481000,30.0,56.1,10.2,34.0,Partly cloudy throughout the day.
38,2010-02-08,1265567400,25.0,67.5,27.7,88.1,Partly cloudy throughout the day with late afternoon rain.
39,2010-02-09,1265653800,22.0,77.2,23.9,71.2,Partly cloudy throughout the day with early morning rain.
40,2010-02-10,1265740200,21.5,80.8,14.8,68.3,Partly cloudy throughout the day.
41,2010-02-11,1265826600,22.5,71.7,10.2,18.3,Clear conditions throughout the day.
42,2010-02-12,1265913000,23.4,73.7,13.8,61.0,Partly cloudy throughout the day with late afternoon rain.
43,2010-02-13,1265999400,23.0,75.2,13.0,54.1,Partly cloudy throughout the day.
44,2010-02-14,1266085800,22.5,68.6,16.4,11.3,Clear conditions throughout the day.
45,2010-02-15,1266172200,20.7,72.0,11.2,58.3,Partly cloudy throughout the day.
46,2010-02-16,1266258600,25.0,61.7,14.0,16.5,Clear conditions throughout the day.
47,2010-02-17,1266345000,21.0,58.0,22.3,0.0,Clear conditions throughout the day.
48,2010-02-18,1266431400,23.3,58.4,23.3,0.0,Clear conditions throughout the day.
49,2010-02-19,1266517800,23.5,57.5,14.8,0.0,Clear conditions throughout the day.
50,2010-02-20,1266604200,25.1,55.5,18.4,0.0,Clear conditions throughout the day.
