ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-01-01,32.553819000000004,16.269931082533475,23.26912195515087,32.553819000000004,32.553819000000004,-12.53551410596165,-12.53551410596165,-12.53551410596165,-0.05917189106173612,-0.05917189106173612,-0.05917189106173612,-12.476342214899915,-12.476342214899915,-12.476342214899915,0.0,0.0,0.0,20.018304894038355
2010-01-02,32.55227631129933,16.491109511311723,23.19554261762789,32.55227631129933,32.55227631129933,-12.661183670846706,-12.661183670846706,-12.661183670846706,-0.09491795414378328,-0.09491795414378328,-0.09491795414378328,-12.566265716702922,-12.566265716702922,-12.566265716702922,0.0,0.0,0.0,19.891092640452626
2010-01-03,32.550733622598656,16.362593718440255,23.31234560185319,32.550733622598656,32.550733622598656,-12.676587735701867,-12.676587735701867,-12.676587735701867,-0.034604115862848554,-0.034604115862848554,-0.034604115862848554,-12.641983619839019,-12.641983619839019,-12.641983619839019,0.0,0.0,0.0,19.87414588689679
2010-01-04,32.54919093389798,16.592490143372608,23.250165720478925,32.54919093389798,32.54919093389798,-12.677375978915968,-12.677375978915968,-12.677375978915968,0.02624654604648548,0.02624654604648548,0.02624654604648548,-12.703622524962453,-12.703622524962453,-12.703622524962453,0.0,0.0,0.0,19.871814954982014
2010-01-05,32.54764824519731,16.467316050698855,23.460180556922555,32.54764824519731,32.54764824519731,-12.656468729533712,-12.656468729533712,-12.656468729533712,0.09488122928823499,0.09488122928823499,0.09488122928823499,-12.751349958821947,-12.751349958821947,-12.751349958821947,0.0,0.0,0.0,19.891179515663595
2010-01-06,32.546105556496634,16.45241315933107,23.21182922464916,32.546105556496634,32.546105556496634,-12.741026265900313,-12.741026265900313,-12.741026265900313,0.044337478233745946,0.044337478233745946,0.044337478233745946,-12.785363744134056,-12.785363744134056,-12.785363744134056,0.0,0.0,0.0,19.80507929059632
2010-01-07,32.54456286779596,16.332703901807445,22.92272306324035,32.54456286779596,32.54456286779596,-12.782653426261483,-12.782653426261483,-12.782653426261483,0.023228707500062652,0.023228707500062652,0.023228707500062652,-12.805882133761548,-12.805882133761548,-12.805882133761548,0.0,0.0,0.0,19.761909441534478
2010-01-08,32.543020179095286,16.254340043623845,23.12964910323144,32.543020179095286,32.543020179095286,-12.872306882313325,-12.872306882313325,-12.872306882313325,-0.05917189106187465,-0.05917189106187465,-0.05917189106187465,-12.813134991251449,-12.813134991251449,-12.813134991251449,0.0,0.0,0.0,19.670713296781962
2010-01-09,32.54147749039461,16.15891726797384,23.08946745351348,32.54147749039461,32.54147749039461,-12.902274213105512,-12.902274213105512,-12.902274213105512,-0.09491795414380857,-0.09491795414380857,-0.09491795414380857,-12.807356258961702,-12.807356258961702,-12.807356258961702,0.0,0.0,0.0,19.6392032772891
2010-01-10,32.53993480169394,16.232080984992386,22.987193638185623,32.53993480169394,32.53993480169394,-12.823382023748966,-12.823382023748966,-12.823382023748966,-0.03460411586276509,-0.03460411586276509,-0.03460411586276509,-12.7887779078862,-12.7887779078862,-12.7887779078862,0.0,0.0,0.0,19.716552777944973
2010-01-11,32.538392112993265,16.117822406375765,23.20145565211585,32.538392112993265,32.538392112993265,-12.731378965190553,-12.731378965190553,-12.731378965190553,0.02624654604643866,0.02624654604643866,0.02624654604643866,-12.757625511236991,-12.757625511236991,-12.757625511236991,0.0,0.0,0.0,19.807013147802714
2010-01-12,32.53684942429259,16.23247503538076,23.42604558882256,32.53684942429259,32.53684942429259,-12.619234299074924,-12.619234299074924,-12.619234299074924,0.09488122928823635,0.09488122928823635,0.09488122928823635,-12.71411552836316,-12.71411552836316,-12.71411552836316,0.0,0.0,0.0,19.917615125217665
2010-01-13,32.53530673559192,16.668521531834383,23.324322114092574,32.53530673559192,32.53530673559192,-12.61411685000726,-12.61411685000726,-12.61411685000726,0.04433747823373107,0.04433747823373107,0.04433747823373107,-12.65845432824099,-12.65845432824099,-12.65845432824099,0.0,0.0,0.0,19.921189885584656
2010-01-14,32.53376404689124,16.46748084125326,23.368762389614098,32.53376404689124,32.53376404689124,-12.567610216708173,-12.567610216708173,-12.567610216708173,0.02322870749999753,0.02322870749999753,0.02322870749999753,-12.590838924208171,-12.590838924208171,-12.590838924208171,0.0,0.0,0.0,19.966153830183067
2010-01-15,32.53222135819057,16.618924599040515,23.23150587483179,32.53222135819057,32.53222135819057,-12.570631226484075,-12.570631226484075,-12.570631226484075,-0.0591718910618958,-0.0591718910618958,-0.0591718910618958,-12.511459335422177,-12.511459335422177,-12.511459335422177,0.0,0.0,0.0,19.961590131706494
2010-01-16,32.530678669489895,16.648654480795674,23.353614428248797,32.530678669489895,32.530678669489895,-12.515420391457418,-12.515420391457418,-12.515420391457418,-0.09491795414371416,-0.09491795414371416,-0.09491795414371416,-12.420502437313704,-12.420502437313704,-12.420502437313704,0.0,0.0,0.0,20.015258278032476
2010-01-17,32.52913598078923,16.661848441961624,23.535479259195903,32.52913598078923,32.52913598078923,-12.352761230389612,-12.352761230389612,-12.352761230389612,-0.03460411586294814,-0.03460411586294814,-0.03460411586294814,-12.318157114526665,-12.318157114526665,-12.318157114526665,0.0,0.0,0.0,20.176374750399617
