ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-01-01,31.629123000000003,27.35663768404574,31.702375828484975,31.629123000000003,31.629123000000003,-2.1550478578319017,-2.1550478578319017,-2.1550478578319017,-0.023816560331897194,-0.023816560331897194,-0.023816560331897194,-2.1312312975000047,-2.1312312975000047,-2.1312312975000047,0.0,0.0,0.0,29.4740751421681
2010-01-02,31.62265865198535,27.327531936644753,31.583551534491004,31.62265865198535,31.62265865198535,-2.1284880281638685,-2.1284880281638685,-2.1284880281638685,-0.027911324536518213,-0.027911324536518213,-0.027911324536518213,-2.1005767036273504,-2.1005767036273504,-2.1005767036273504,0.0,0.0,0.0,29.494170623821482
2010-01-03,31.616194303970705,27.406064602419338,31.698871003344205,31.616194303970705,31.616194303970705,-2.0467217077632713,-2.0467217077632713,-2.0467217077632713,0.027511076411398695,0.027511076411398695,0.027511076411398695,-2.07423278417467,-2.07423278417467,-2.07423278417467,0.0,0.0,0.0,29.569472596207433
2010-01-04,31.609729955956052,27.32754575835583,31.87371387883763,31.609729955956052,31.609729955956052,-2.078576342496309,-2.078576342496309,-2.078576342496309,-0.026501342644241047,-0.026501342644241047,-0.026501342644241047,-2.052074999852068,-2.052074999852068,-2.052074999852068,0.0,0.0,0.0,29.531153613459743
2010-01-05,31.603265607941406,27.49929005843564,31.881743887473597,31.603265607941406,31.603265607941406,-1.99197045872724,-1.99197045872724,-1.99197045872724,0.04188129598262298,0.04188129598262298,0.04188129598262298,-2.033851754709863,-2.033851754709863,-2.033851754709863,0.0,0.0,0.0,29.611295149214165
2010-01-06,31.596801259926757,27.43004827588235,31.80539985301934,31.596801259926757,31.596801259926757,-2.019857899141425,-2.019857899141425,-2.019857899141425,-0.0006690740311060865,-0.0006690740311060865,-0.0006690740311060865,-2.019188825110319,-2.019188825110319,-2.019188825110319,0.0,0.0,0.0,29.576943360785332
2010-01-07,31.590336911912107,27.502297660913637,31.71993361552163,31.590336911912107,31.590336911912107,-1.9980907836117392,-1.9980907836117392,-1.9980907836117392,0.009505929149988221,0.009505929149988221,0.009505929149988221,-2.0075967127617274,-2.0075967127617274,-2.0075967127617274,0.0,0.0,0.0,29.592246128300367
2010-01-08,31.583872563897458,27.43164855161444,31.767615911025217,31.583872563897458,31.583872563897458,-2.022297314281179,-2.022297314281179,-2.022297314281179,-0.023816560332069817,-0.023816560332069817,-0.023816560332069817,-1.998480753949109,-1.998480753949109,-1.998480753949109,0.0,0.0,0.0,29.56157524961628
2010-01-09,31.577408215882812,27.385612400850903,31.598293610013048,31.577408215882812,31.577408215882812,-2.0190650723887114,-2.0190650723887114,-2.0190650723887114,-0.027911324536545046,-0.027911324536545046,-0.027911324536545046,-1.9911537478521661,-1.9911537478521661,-1.9911537478521661,0.0,0.0,0.0,29.5583431434941
2010-01-10,31.57094386786816,27.423465984586503,31.972137906741278,31.57094386786816,31.57094386786816,-1.9573397273472235,-1.9573397273472235,-1.9573397273472235,0.027511076411431638,0.027511076411431638,0.027511076411431638,-1.984850803758655,-1.984850803758655,-1.984850803758655,0.0,0.0,0.0,29.613604140520934
2010-01-11,31.564479519853506,27.527282982101394,31.6716691942004,31.564479519853506,31.564479519853506,-2.005247394352448,-2.005247394352448,-2.005247394352448,-0.026501342644214568,-0.026501342644214568,-0.026501342644214568,-1.9787460517082331,-1.9787460517082331,-1.9787460517082331,0.0,0.0,0.0,29.559232125501058
