ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-01-01,32.5592568,16.722056076042648,23.326156768497317,32.5592568,32.5592568,-12.555958319469969,-12.555958319469969,-12.555958319469969,-0.06120347527005394,-0.06120347527005394,-0.06120347527005394,-12.494754844199914,-12.494754844199914,-12.494754844199914,0.0,0.0,0.0,20.00329848053003
2010-01-02,32.557455472205085,16.683836480877332,23.30031883480153,32.557455472205085,32.557455472205085,-12.682013615338214,-12.682013615338214,-12.682013615338214,-0.09662857166252858,-0.09662857166252858,-0.09662857166252858,-12.585385043675682,-12.585385043675682,-12.585385043675682,0.0,0.0,0.0,19.87544185686687
2010-01-03,32.55565414441018,16.508921825148967,23.601706011805565,32.55565414441018,32.55565414441018,-12.695724936648327,-12.695724936648327,-12.695724936648327,-0.033979185615451254,-0.033979185615451254,-0.033979185615451254,-12.661745751032873,-12.661745751032873,-12.661745751032873,0.0,0.0,0.0,19.85992920776185
2010-01-04,32.55385281661526,16.439428269520484,23.338466254501018,32.55385281661526,32.55385281661526,-12.696394907306589,-12.696394907306589,-12.696394907306589,0.027559686330794482,0.027559686330794482,0.027559686330794482,-12.723954593637382,-12.723954593637382,-12.723954593637382,0.0,0.0,0.0,19.85745790930867
2010-01-05,32.552051488820354,16.58956693053635,23.261995368564104,32.552051488820354,32.552051488820354,-12.676449391543176,-12.676449391543176,-12.676449391543176,0.09572264200552531,0.09572264200552531,0.09572264200552531,-12.772172033548701,-12.772172033548701,-12.772172033548701,0.0,0.0,0.0,19.875602097277177
2010-01-06,32.550250161025446,16.25303291918057,23.179154425308848,32.550250161025446,32.550250161025446,-12.76490247442834,-12.76490247442834,-12.76490247442834,0.04168844811182036,0.04168844811182036,0.04168844811182036,-12.80659092254016,-12.80659092254016,-12.80659092254016,0.0,0.0,0.0,19.785347686597106
2010-01-07,32.54844883323054,16.20133906983258,23.061308087015835,32.54844883323054,32.54844883323054,-12.800586308160693,-12.800586308160693,-12.800586308160693,0.02684045610006077,0.02684045610006077,0.02684045610006077,-12.827426764260753,-12.827426764260753,-12.827426764260753,0.0,0.0,0.0,19.747862525069845
2010-01-08,32.54664750543562,16.12452255773981,23.016650919636724,32.54664750543562,32.54664750543562,-12.896112436842074,-12.896112436842074,-12.896112436842074,-0.0612034752702023,-0.0612034752702023,-0.0612034752702023,-12.83490896157187,-12.83490896157187,-12.83490896157187,0.0,0.0,0.0,19.65053506859355
2010-01-09,32.544846177640714,16.073224685242693,22.874610847323748,32.544846177640714,32.544846177640714,-12.925901859633452,-12.925901859633452,-12.925901859633452,-0.09662857166255631,-0.09662857166255631,-0.09662857166255631,-12.829273287970896,-12.829273287970896,-12.829273287970896,0.0,0.0,0.0,19.618944318007262
2010-01-10,32.5430448498458,16.25457143993622,23.208737595259326,32.5430448498458,32.5430448498458,-12.844734962295723,-12.844734962295723,-12.844734962295723,-0.03397918561536151,-0.03397918561536151,-0.03397918561536151,-12.810755776680363,-12.810755776680363,-12.810755776680363,0.0,0.0,0.0,19.698309887550074
2010-01-11,32.54124352205089,16.443756329140825,22.996069662135564,32.54124352205089,32.54124352205089,-12.752028484417021,-12.752028484417021,-12.752028484417021,0.027559686330759774,0.027559686330759774,0.027559686330759774,-12.77958817074778,-12.77958817074778,-12.77958817074778,0.0,0.0,0.0,19.78921503763387
2010-01-12,32.539442194255976,16.529500898648276,23.52903103341198,32.539442194255976,32.539442194255976,-12.640272381813157,-12.640272381813157,-12.640272381813157,0.09572264200554118,0.09572264200554118,0.09572264200554118,-12.735995023818699,-12.735995023818699,-12.735995023818699,0.0,0.0,0.0,19.89916981244282
2010-01-13,32.53764086646106,16.570860113606894,23.473883325737997,32.53764086646106,32.53764086646106,-12.638504037512936,-12.638504037512936,-12.638504037512936,0.04168844811180662,0.04168844811180662,0.04168844811180662,-12.680192485624742,-12.680192485624742,-12.680192485624742,0.0,0.0,0.0,19.899136828948123
2010-01-14,32.53583953866615,16.486994642405087,23.148168997141045,32.53583953866615,32.53583953866615,-12.58554829416794,-12.58554829416794,-12.58554829416794,0.026840456099995302,0.026840456099995302,0.026840456099995302,-12.61238875026794,-12.61238875026794,-12.61238875026794,0.0,0.0,0.0,19.95029124449821
2010-01-15,32.53403821087124,16.52343303350893,23.28437587153807,32.53403821087124,32.53403821087124,-12.593989565892285,-12.593989565892285,-12.593989565892285,-0.061203475270224156,-0.061203475270224156,-0.061203475270224156,-12.532786090622059,-12.532786090622059,-12.532786090622059,0.0,0.0,0.0,19.94004864497895
2010-01-16,32.53223688307633,16.836009708841736,23.41076782327319,32.53223688307633,32.53223688307633,-12.538212921844389,-12.538212921844389,-12.538212921844389,-0.09662857166245112,-0.09662857166245112,-0.09662857166245112,-12.44158435018194,-12.44158435018194,-12.44158435018194,0.0,0.0,0.0,19.99402396123194
2010-01-17,32.53043555528142,16.71113842879506,23.810880231566955,32.53043555528142,32.53043555528142,-12.37296490149868,-12.37296490149868,-12.37296490149868,-0.033979185615561035,-0.033979185615561035,-0.033979185615561035,-12.338985715883119,-12.338985715883119,-12.338985715883119,0.0,0.0,0.0,20.15747065378274
2010-01-18,32.528634227486506,16.979347896519986,23.714473763241042,32.528634227486506,32.528634227486506,-12.197640866824758,-12.197640866824758,-12.197640866824758,0.02755968633079459,0.02755968633079459,0.02755968633079459,-12.225200553155553,-12.225200553155553,-12.225200553155553,0.0,0.0,0.0,20.33099336066175
2010-01-19,32.5268328996916,17.23822547922319,23.94203986668344,32.5268328996916,32.5268328996916,-12.004731406905245,-12.004731406905245,-12.004731406905245,0.09572264200553109,0.09572264200553109,0.09572264200553109,-12.100454048910777,-12.100454048910777,-12.100454048910777,0.0,0.0,0.0,20.522101492786355
2010-01-20,32.52503157189669,17.323591786815925,24.148849200744113,32.52503157189669,32.52503157189669,-11.923304932166646,-11.923304932166646,-11.923304932166646,0.04168844811190366,0.04168844811190366,0.04168844811190366,-11.96499338027855,-11.96499338027855,-11.96499338027855,0.0,0.0,0.0,20.601726639730046
2010-01-21,32.523230244101775,17.453189513574642,24.346803243024347,32.523230244101775,32.523230244101775,-11.792254651403214,-11.792254651403214,-11.792254651403214,0.02684045609992984,0.02684045609992984,0.02684045609992984,-11.819095107503143,-11.819095107503143,-11.819095107503143,0.0,0.0,0.0,20.730975592698563
2010-01-22,32.52142891630686,17.376673017795635,24.058967039173538,32.52142891630686,32.52142891630686,-11.72427595424946,-11.72427595424946,-11.72427595424946,-0.06120347527023306,-0.06120347527023306,-0.06120347527023306,-11.663072478979227,-11.663072478979227,-11.663072478979227,0.0,0.0,0.0,20.7971529620574
2010-01-23,32.51962758851195,17.22972542834346,24.42150749584863,32.51962758851195,32.51962758851195,-11.593910906930164,-11.593910906930164,-11.593910906930164,-0.09662857166261872,-0.09662857166261872,-0.09662857166261872,-11.497282335267544,-11.497282335267544,-11.497282335267544,0.0,0.0,0.0,20.92571668158179
2010-01-24,32.51782626071704,17.782302306732607,24.454265562234223,32.51782626071704,32.51782626071704,-11.356110492723948,-11.356110492723948,-11.356110492723948,-0.03397918561535836,-0.03397918561535836,-0.03397918561535836,-11.32213130710859,-11.32213130710859,-11.32213130710859,0.0,0.0,0.0,21.161715767993087
2010-01-25,32.51602493292213,17.612911543742506,24.817892419932715,32.51602493292213,32.51602493292213,-11.110521333381923,-11.110521333381923,-11.110521333381923,0.027559686330829405,0.027559686330829405,0.027559686330829405,-11.138081019712754,-11.138081019712754,-11.138081019712754,0.0,0.0,0.0,21.405503599540204
2010-01-26,32.51422360512721,18.770093042319484,24.958318452006203,32.51422360512721,32.51422360512721,-10.849929399490959,-10.849929399490959,-10.849929399490959,0.09572264200553532,0.09572264200553532,0.09572264200553532,-10.945652041496494,-10.945652041496494,-10.945652041496494,0.0,0.0,0.0,21.664294205636253
2010-01-27,32.512422277332305,18.49780363960768,25.145469187233907,32.512422277332305,32.512422277332305,-10.703737901114987,-10.703737901114987,-10.703737901114987,0.04168844811191104,0.04168844811191104,0.04168844811191104,-10.745426349226898,-10.745426349226898,-10.745426349226898,0.0,0.0,0.0,21.808684376217318
2010-01-28,32.51062094953739,18.463305336980024,25.49099976672936,32.51062094953739,32.51062094953739,-10.511207666227845,-10.511207666227845,-10.511207666227845,0.026840456100080134,0.026840456100080134,0.026840456100080134,-10.538048122327924,-10.538048122327924,-10.538048122327924,0.0,0.0,0.0,21.999413283309543
2010-01-29,32.50881962174248,18.600750763873428,25.491508218440863,32.50881962174248,32.50881962174248,-10.385426201040596,-10.385426201040596,-10.385426201040596,-0.0612034752702549,-0.0612034752702549,-0.0612034752702549,-10.324222725770342,-10.324222725770342,-10.324222725770342,0.0,0.0,0.0,22.123393420701888
2010-01-30,32.507018293947574,18.802273821978577,25.703372220668705,32.507018293947574,32.507018293947574,-10.201342363882643,-10.201342363882643,-10.201342363882643,-0.0966285716625205,-0.0966285716625205,-0.0966285716625205,-10.104713792220123,-10.104713792220123,-10.104713792220123,0.0,0.0,0.0,22.30567593006493
2010-01-31,32.505216966152666,19.052759045327623,26.09105692093228,32.505216966152666,32.505216966152666,-9.914317554221894,-9.914317554221894,-9.914317554221894,-0.03397918561538155,-0.03397918561538155,-0.03397918561538155,-9.88033836860651,-9.88033836860651,-9.88033836860651,0.0,0.0,0.0,22.59089941193077
2010-02-01,32.50341563835775,19.4783989596155,26.31887326757266,32.50341563835775,32.50341563835775,-9.62440046212342,-9.62440046212342,-9.62440046212342,0.02755968633086422,0.02755968633086422,0.02755968633086422,-9.651960148454283,-9.651960148454283,-9.651960148454283,0.0,0.0,0.0,22.879015176234333
2010-02-02,32.501614310562836,19.616912904832805,26.545619663115136,32.501614310562836,32.501614310562836,-9.324758225688221,-9.324758225688221,-9.324758225688221,0.09572264200552258,0.09572264200552258,0.09572264200552258,-9.420480867693744,-9.420480867693744,-9.420480867693744,0.0,0.0,0.0,23.176856084874615
2010-02-03,32.49981298276793,20.21650862633997,26.751726527744893,32.49981298276793,32.49981298276793,-9.145141548575163,-9.145141548575163,-9.145141548575163,0.04168844811189729,0.04168844811189729,0.04168844811189729,-9.186829996687061,-9.186829996687061,-9.186829996687061,0.0,0.0,0.0,23.354671434192767
2010-02-04,32.49801165497301,20.143336598645806,26.935350198772138,32.49801165497301,32.49801165497301,-8.9251124572683,-8.9251124572683,-8.9251124572683,0.02684045609991957,0.02684045609991957,0.02684045609991957,-8.95195291336822,-8.95195291336822,-8.95195291336822,0.0,0.0,0.0,23.572899197704714
2010-02-05,32.496210327178105,20.344758673787013,27.230166005228785,32.496210327178105,32.496210327178105,-8.778001265539054,-8.778001265539054,-8.778001265539054,-0.06120347527027676,-0.06120347527027676,-0.06120347527027676,-8.716797790268776,-8.716797790268776,-8.716797790268776,0.0,0.0,0.0,23.71820906163905
2010-02-06,32.49440899938319,20.527653976791374,27.24788285354924,32.49440899938319,32.49440899938319,-8.578930042125679,-8.578930042125679,-8.578930042125679,-0.09662857166268113,-0.09662857166268113,-0.09662857166268113,-8.482301470462998,-8.482301470462998,-8.482301470462998,0.0,0.0,0.0,23.915478957257513
2010-02-07,32.49260767158828,20.568750647841952,27.764213500728808,32.49260767158828,32.49260767158828,-8.283353828585817,-8.283353828585817,-8.283353828585817,-0.03397918561558109,-0.03397918561558109,-0.03397918561558109,-8.249374642970235,-8.249374642970235,-8.249374642970235,0.0,0.0,0.0,24.209253843002465
2010-02-08,32.490806343793366,20.991581263533693,27.91553575573693,32.490806343793366,32.490806343793366,-7.991326969564763,-7.991326969564763,-7.991326969564763,0.027559686330829523,0.027559686330829523,0.027559686330829523,-8.018886655895592,-8.018886655895592,-8.018886655895592,0.0,0.0,0.0,24.499479374228603
2010-02-09,32.48900501599846,21.610033346123394,28.16538130245493,32.48900501599846,32.48900501599846,-7.695927682766749,-7.695927682766749,-7.695927682766749,0.09572264200552678,0.09572264200552678,0.09572264200552678,-7.791650324772276,-7.791650324772276,-7.791650324772276,0.0,0.0,0.0,24.793077333231707
2010-02-10,32.48720368820355,21.544281522799462,28.55291257139896,32.48720368820355,32.48720368820355,-7.5267186555636885,-7.5267186555636885,-7.5267186555636885,0.04168844811183871,0.04168844811183871,0.04168844811183871,-7.5684071036755265,-7.5684071036755265,-7.5684071036755265,0.0,0.0,0.0,24.960485032639863
2010-02-11,32.485402360408635,22.18620684344253,28.776292423195216,32.485402360408635,32.485402360408635,-7.322972531241914,-7.322972531241914,-7.322972531241914,0.026840456099949204,0.026840456099949204,0.026840456099949204,-7.349812987341863,-7.349812987341863,-7.349812987341863,0.0,0.0,0.0,25.162429829166722
2010-02-12,32.48360103261373,21.750848690877117,29.07695065176515,32.48360103261373,32.48360103261373,-7.19762897898192,-7.19762897898192,-7.19762897898192,-0.061203475270298596,-0.061203475270298596,-0.061203475270298596,-7.136425503711622,-7.136425503711622,-7.136425503711622,0.0,0.0,0.0,25.285972053631806
