,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover
0,2020-11-25,1606242600,25.5,11.0,18.1,25.5,11.0,18.1,11.9,69.9,0.0,0.0,0.0
1,2020-11-26,1606329000,25.2,13.0,18.6,25.2,13.0,18.6,13.7,75.0,0.0,0.0,0.0
2,2020-11-27,1606415400,27.2,12.9,18.9,27.3,12.9,18.9,13.7,74.8,0.0,0.0,0.0
3,2020-11-28,1606501800,27.1,12.0,18.6,26.5,12.0,18.6,12.3,70.4,0.0,0.0,0.0
4,2020-11-29,1606588200,26.6,12.0,18.1,26.6,12.0,18.1,11.7,69.3,0.0,0.0,0.0
5,2020-11-30,1606674600,25.9,10.8,17.3,25.9,10.8,17.3,11.0,70.3,0.0,0.0,0.0
6,2020-12-01,1606761000,25.2,11.0,17.1,25.2,11.0,17.1,12.9,78.1,0.0,0.0,0.0
7,2020-12-02,1606847400,24.5,12.0,17.3,24.5,12.0,17.3,13.9,81.7,0.0,0.0,0.0
8,2020-12-03,1606933800,25.0,12.0,17.6,25.0,12.0,17.6,14.5,83.5,0.0,0.0,0.0
9,2020-12-04,1607020200,25.0,12.0,17.6,25.0,12.0,17.6,14.9,85.7,0.0,0.0,0.0
10,2020-12-05,1607106600,27.0,12.1,18.3,27.9,12.1,18.3,15.0,82.9,0.0,0.0,0.0
11,2020-12-06,1607193000,27.1,14.0,19.4,27.9,14.0,19.5,15.5,80.2,0.0,0.0,0.0
12,2020-12-07,1607279400,26.0,14.0,19.0,26.0,14.0,19.0,15.5,81.8,0.0,0.0,0.0
13,2020-12-08,1607365800,27.0,13.0,18.9,27.4,13.0,18.9,15.3,81.2,0.0,0.0,0.0
14,2020-12-09,1607452200,26.5,12.9,18.4,26.5,12.9,18.4,15.0,82.1,0.0,0.0,0.0
15,2020-12-10,1607538600,25.0,14.0,17.9,25.0,14.0,17.9,16.0,89.2,0.0,0.0,0.0
16,2020-12-11,1607625000,19.6,14.0,16.4,19.6,14.0,16.4,14.4,87.9,0.0,0.0,0.0
17,2020-12-12,1607711400,24.0,16.0,18.5,24.0,16.0,18.5,16.1,86.1,0.0,0.0,0.0
18,2020-12-13,1607797800,24.3,15.9,18.7,24.3,15.9,18.7,15.0,80.2,0.0,0.0,0.0
19,2020-12-14,1607884200,21.5,11.0,15.8,21.5,11.0,15.8,12.1,79.6,0.0,0.0,0.0
20,2020-12-15,1607970600,22.3,12.3,16.2,22.3,12.3,16.2,11.0,73.2,0.0,0.0,0.0
21,2020-12-16,1608057000,22.6,13.0,16.4,22.6,13.0,16.4,10.5,69.8,0.009,100.0,4.17
22,2020-12-17,1608143400,20.5,8.0,13.4,20.5,6.1,13.1,5.6,62.7,0.0,0.0,0.0
23,2020-12-18,1608229800,19.1,6.0,11.3,19.1,4.0,10.9,6.2,73.7,0.0,0.0,0.0
24,2020-12-19,1608316200,19.2,5.0,11.4,19.2,5.0,11.2,6.2,73.8,0.0,0.0,0.0
25,2020-12-20,1608402600,18.0,5.0,10.5,18.0,5.0,10.4,7.7,83.8,0.0,0.0,0.0
26,2020-12-21,1608489000,21.0,4.6,11.4,21.0,4.6,11.4,7.7,79.6,0.0,0.0,0.0
27,2020-12-22,1608575400,22.1,8.0,14.2,22.1,8.0,14.2,10.0,77.8,0.0,0.0,0.0
28,2020-12-23,1608661800,23.2,8.0,14.9,23.2,7.6,14.9,10.5,77.5,0.0,0.0,0.0
29,2020-12-24,1608748200,23.1,8.0,14.8,23.1,8.0,14.8,10.0,75.5,0.0,0.0,0.0
30,2020-12-25,1608834600,22.6,8.4,15.0,22.6,7.0,15.0,8.0,67.0,0.0,0.0,0.0
31,2020-12-26,1608921000,23.0,8.0,14.2,23.0,7.4,14.2,8.2,70.5,0.0,0.0,0.0
