,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover
0,2020-11-25,1606242600,23.9,18.0,21.0,23.9,18.0,21.0,18.5,86.8,0.378,100.0,4.17
1,2020-11-26,1606329000,20.0,18.9,19.7,20.0,18.9,19.7,19.4,98.1,13.16,100.0,25.0
2,2020-11-27,1606415400,22.6,18.0,19.9,22.6,18.0,19.9,18.0,89.5,0.189,100.0,4.17
3,2020-11-28,1606501800,26.9,17.0,21.6,27.8,17.0,21.6,18.0,81.6,0.5,100.0,16.67
4,2020-11-29,1606588200,24.9,18.9,21.6,24.9,18.9,21.6,19.2,86.9,1.0,100.0,29.17
5,2020-11-30,1606674600,26.9,19.0,22.2,27.6,19.0,22.3,18.2,79.6,0.0,0.0,0.0
6,2020-12-01,1606761000,25.9,17.0,21.2,25.9,17.0,21.2,14.8,69.7,0.0,0.0,0.0
7,2020-12-02,1606847400,25.9,16.0,20.3,25.9,16.0,20.3,16.8,81.9,0.0,0.0,0.0
8,2020-12-03,1606933800,21.1,18.0,19.6,21.1,18.0,19.6,18.5,93.7,0.395,100.0,8.33
9,2020-12-04,1607020200,22.9,19.0,20.7,22.9,19.0,20.7,19.6,93.5,0.233,100.0,8.33
10,2020-12-05,1607106600,26.0,19.0,21.2,26.0,19.0,21.2,19.5,90.6,0.806,100.0,8.33
11,2020-12-06,1607193000,23.9,19.0,21.0,23.9,19.0,21.0,19.4,90.8,5.89,100.0,4.17
12,2020-12-07,1607279400,25.1,19.7,21.8,25.1,19.7,21.8,19.5,87.3,0.206,100.0,8.33
13,2020-12-08,1607365800,24.0,20.0,21.4,24.0,20.0,21.4,20.1,92.6,4.901,100.0,12.5
14,2020-12-09,1607452200,25.8,20.0,21.8,25.8,20.0,21.8,19.4,87.3,0.055,100.0,4.17
15,2020-12-10,1607538600,26.9,17.0,21.3,26.4,17.0,21.2,14.5,70.1,0.0,0.0,0.0
