,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover
0,2010-01-01,1262284200,29.1,22.1,25.3,32.1,22.1,26.0,21.9,82.9,0.0,0.0,0.0
1,2010-01-02,1262370600,29.1,21.1,25.0,31.4,21.1,25.7,21.8,83.6,0.0,0.0,0.0
2,2010-01-03,1262457000,28.1,22.1,25.0,29.7,22.1,25.5,20.2,75.2,0.0,0.0,0.0
3,2010-01-04,1262543400,28.1,21.1,23.6,29.7,21.1,23.8,19.7,79.8,0.0,0.0,0.0
4,2010-01-05,1262629800,29.1,20.1,23.7,30.4,20.1,24.0,19.9,81.0,0.0,0.0,0.0
5,2010-01-06,1262716200,29.1,21.1,24.5,30.4,21.1,24.8,20.4,79.2,0.0,0.0,0.0
6,2010-01-07,1262802600,28.1,22.5,25.8,30.2,22.5,26.4,20.7,74.6,0.1,100.0,4.17
7,2010-01-08,1262889000,26.7,23.1,23.9,26.7,23.1,23.9,22.2,90.9,3.0,100.0,8.33
8,2010-01-09,1262975400,28.1,23.1,24.7,32.1,23.1,25.2,22.9,90.1,0.3,100.0,8.33
9,2010-01-10,1263061800,29.1,23.1,25.4,33.7,23.1,26.6,23.0,86.8,1.1,100.0,8.33
10,2010-01-11,1263148200,31.1,24.1,26.8,36.7,24.1,28.7,24.1,86.1,0.1,100.0,4.17
11,2010-01-12,1263234600,31.1,24.0,26.9,35.6,24.0,28.6,23.5,82.7,0.0,0.0,0.0
12,2010-01-13,1263321000,31.1,24.1,27.3,36.7,24.1,29.8,24.0,83.0,0.0,0.0,0.0
13,2010-01-14,1263407400,30.1,23.8,26.9,34.3,23.8,28.4,23.4,82.0,0.0,0.0,0.0
14,2010-01-15,1263493800,29.1,23.1,26.4,30.9,23.1,27.1,21.5,75.3,0.0,0.0,0.0
15,2010-01-16,1263580200,30.1,22.1,25.6,31.4,22.1,26.1,20.7,75.9,0.0,0.0,0.0
16,2010-01-17,1263666600,29.1,22.1,25.7,32.1,22.1,26.7,21.9,80.5,0.0,0.0,0.0
17,2010-01-18,1263753000,30.1,23.1,25.9,32.6,23.1,26.8,22.2,81.0,0.0,0.0,0.0
18,2010-01-19,1263839400,29.1,23.1,25.6,31.4,23.1,26.3,21.9,81.2,0.0,0.0,0.0
19,2010-01-20,1263925800,29.1,22.1,25.1,30.4,22.1,25.3,19.9,75.3,0.0,0.0,0.0
20,2010-01-21,1264012200,29.1,20.1,24.3,28.9,20.1,24.3,17.2,67.3,0.0,0.0,0.0
21,2010-01-22,1264098600,29.1,19.1,23.6,29.9,19.1,23.8,17.8,71.5,0.0,0.0,0.0
22,2010-01-23,1264185000,28.1,19.1,23.6,28.9,19.1,23.9,18.2,72.8,0.0,0.0,0.0
23,2010-01-24,1264271400,27.1,20.1,24.3,28.9,20.1,24.9,20.1,77.9,0.3,100.0,8.33
24,2010-01-25,1264357800,29.1,21.1,25.0,31.4,21.1,25.5,20.3,76.6,0.0,0.0,0.0
25,2010-01-26,1264444200,31.1,22.0,25.7,31.9,22.0,26.3,20.9,76.8,0.0,0.0,0.0
